Cell	Plate	Condition1	Condition2	Gene	logFC	logCPM	PValue	FDR
A	1	CTRL	SOR+URS	DNAJB2	1.86261558005915	2.3783546070523	0.00866155878141909	0.0452791646857465
A	1	CTRL	SOR+URS	DNAJB4	1.28462791906045	6.22358977578368	6.99768789229334e-12	2.1983842082784e-10
A	1	CTRL	SOR+URS	DNAJC12	-1.82312520872575	3.33745958352266	0.0168869671853117	0.077193345276264
A	1	CTRL	SOR+URS	DNAJC13	0.898628457188589	4.51653359583866	0.00668696223366231	0.0364588691830341
A	1	CTRL	SOR+URS	DNAJC15	-1.10481182333313	7.72018128652777	8.84446276832455e-10	2.13656717041097e-08
A	1	CTRL	SOR+URS	DNAJC19	-0.760589277059913	7.20440903987118	4.56560173541565e-05	0.000481192331291509
A	1	CTRL	SOR+URS	DNAJC2	0.726943849390772	4.91167784826865	0.00829386113051289	0.0436890250361439
A	1	CTRL	SOR+URS	DNAJC21	1.25214401050876	5.43441825562446	5.36383980275219e-08	9.84550876154049e-07
A	1	CTRL	SOR+URS	DNAJC25	-1.85474129428126	3.36547362134968	0.0233681600272552	0.0988883981010286
A	1	CTRL	SOR+URS	DNAJC3	-0.614249724362575	7.29685750091053	0.000461452375521748	0.00374578950043088
A	1	CTRL	SOR+URS	DNAJC7	-0.655394954717692	5.98544774507717	0.0130908307313816	0.062921686954184
A	1	CTRL	SOR+URS	DNAJC8	-0.629211269126164	8.47961964213732	1.38438572491046e-05	0.000165379680428288
A	1	CTRL	SOR+URS	DNAJC9-AS1	1.89835924496215	2.14429390887294	0.0159238918827427	0.0737453377092714
A	1	CTRL	SOR+URS	DNM2	1.7380607211511	2.12429623833662	0.0160129032630594	0.0740778494552214
A	1	CTRL	SOR+URS	DNM3OS	-0.874961656413052	5.90347762692849	0.00369937161435862	0.0224556839888773
A	1	CTRL	SOR+URS	DNPEP	-0.749435707872637	5.69226382289529	0.00297361534589457	0.0186927267703204
A	1	CTRL	SOR+URS	DNPH1	-2.63526370492503	4.00356084221609	0.000229436726325441	0.00206366729273723
A	1	CTRL	SOR+URS	DOCK1	1.16976287806179	5.0411865843328	8.22120035445755e-06	0.000103013295716592
A	1	CTRL	SOR+URS	DPCD	-1.12152818051755	6.56460339879164	5.25818642304988e-06	6.80388498641969e-05
A	1	CTRL	SOR+URS	DPH3	-1.331728510405	6.48176911181598	2.58177798689903e-07	4.28188534400805e-06
A	1	CTRL	SOR+URS	DPH6	-6.15536588057586	3.3249916174893	4.64136093678266e-05	0.000487503866471575
A	1	CTRL	SOR+URS	DPT	-1.3101251075294	5.59557871278856	8.88651867812694e-05	0.000881836845895528
A	1	CTRL	SOR+URS	DPY30	-1.08444484483704	6.94464179657609	4.44155231830986e-07	7.10485278433189e-06
A	1	CTRL	SOR+URS	DPYSL2	-0.725779171397359	8.73120225531379	7.74276177556957e-08	1.38237914815463e-06
A	1	CTRL	SOR+URS	DPYSL3	0.540271174943569	6.49117485494018	0.00358829638405935	0.0219035242612198
A	1	CTRL	SOR+URS	DR1	0.940856546872247	4.59517469119626	0.00334010557190391	0.0206099337673334
A	1	CTRL	SOR+URS	DRAM1	0.846039812702718	5.24336535448143	0.0010483786792454	0.00762451917588096
A	1	CTRL	SOR+URS	DRAM2	-1.19447996277373	5.77809441999152	0.000172591680603057	0.00160769827070659
A	1	CTRL	SOR+URS	DRG1	-1.02253779060626	6.65630002332009	2.99488937690381e-05	0.000331978026011501
A	1	CTRL	SOR+URS	DSCR3	-1.12365770597828	5.16182077537105	0.00238116106896553	0.0154515362513955
A	1	CTRL	SOR+URS	DSE	0.727810945185075	5.59130729844493	0.00365127985490304	0.0222256993124023
A	1	CTRL	SOR+URS	DSG2	1.96506459307339	2.12565322901456	0.00615379420129257	0.0340202776720358
A	1	CTRL	SOR+URS	DSP	1.39398368872457	5.34064000245913	7.39988508295761e-10	1.79756688009615e-08
A	1	CTRL	SOR+URS	DST	0.788151803635263	7.8135268148822	1.08196868724207e-08	2.23384656770404e-07
A	1	CTRL	SOR+URS	DSTN	-0.713784604708219	9.75158876345709	2.09219078684536e-09	4.75527676404904e-08
A	1	CTRL	SOR+URS	DTD2	1.30127355289337	4.63189086228911	1.4494500307488e-05	0.000171895303555862
A	1	CTRL	SOR+URS	DUSP1	3.33893098894858	4.32475367753637	3.74703377968491e-38	2.57736760351064e-35
A	1	CTRL	SOR+URS	DUSP16	-5.14104019492948	2.56664966333866	0.00718348501092755	0.0387362498753436
A	1	CTRL	SOR+URS	DUSP22	-1.07910180361001	4.52510652772381	0.00278609888509835	0.0177012767765437
A	1	CTRL	SOR+URS	DUSP5	2.2991971187346	1.86201163852204	0.00880052159088918	0.0458185190831879
A	1	CTRL	SOR+URS	DYNLL1	-1.31259209910476	10.4164445087896	2.78983447944104e-28	7.29206936236299e-26
A	1	CTRL	SOR+URS	DYNLRB1	-0.769326891660335	8.38360696072703	2.005995502199e-07	3.38412940628659e-06
A	1	CTRL	SOR+URS	DYNLT1	-1.39959739563302	9.08269518881017	5.90355558645185e-22	6.76785683853852e-20
A	1	CTRL	SOR+URS	DYNLT3	-0.977531752498894	7.94968292384579	1.0123274918429e-08	2.09668906353327e-07
A	1	CTRL	SOR+URS	DYRK1A	0.949213791305671	3.95392082899312	0.0222440794017892	0.0952203975440496
A	1	CTRL	SOR+URS	DYRK2	0.994431723791199	4.35433343420994	0.00368609691912409	0.0223959091752825
A	1	CTRL	SOR+URS	DYRK4	-0.927057309702318	5.81416611887277	0.00126152433288929	0.0089505219905158
A	1	CTRL	SOR+URS	DYSF	1.07651187078036	3.59759192334534	0.0109144048940956	0.0547126473859313
A	1	CTRL	SOR+URS	DZIP1	0.945740271655862	4.99575860262123	0.000769159026251173	0.00583747927646723
A	1	CTRL	SOR+URS	DZIP3	1.01766533752963	4.02805594418796	0.0147645120997088	0.0695843521929658
A	1	CTRL	SOR+URS	E2F6	-5.30177812055662	2.67744372498094	0.00279187568912597	0.0177207495780414
A	1	CTRL	SOR+URS	E2F7	1.26997466947787	2.95914596150502	0.0127522342298164	0.0617255367220262
A	1	CTRL	SOR+URS	EAF1	1.06508384296902	3.81656344100836	0.0099522614974396	0.0507278102613253
A	1	CTRL	SOR+URS	EAPP	-0.546365573801119	7.15180179208709	0.00439336992172292	0.0258868131230824
A	1	CTRL	SOR+URS	ECE2	-2.71771447093947	3.29991859580783	0.00554460760733412	0.0313148128004536
A	1	CTRL	SOR+URS	ECH1	-0.95779627085956	8.07537939863215	6.17870345173467e-09	1.31513803600522e-07
A	1	CTRL	SOR+URS	ECHS1	-0.70790997431805	6.37209420110422	0.00212188431240212	0.0140055081205976
A	1	CTRL	SOR+URS	ECI1	-1.47925758354372	4.3640427341328	0.00924851148527926	0.0477553522722697
A	1	CTRL	SOR+URS	ECI2	-1.7746006089441	6.65544174737735	2.51966560006923e-11	7.46700900845915e-10
A	1	CTRL	SOR+URS	ECM1	1.22076352101122	3.09983557467005	0.0107452714033689	0.0540530992958536
A	1	CTRL	SOR+URS	ECM2	-0.750386344992655	6.14206182979592	0.0014740729278012	0.0102526126095976
A	1	CTRL	SOR+URS	EDF1	-0.366008669337274	8.16113743042125	0.0160095145089316	0.0740778494552214
A	1	CTRL	SOR+URS	EDNRA	1.43129411575639	2.85973928709116	0.00934366486516181	0.0480675348007628
A	1	CTRL	SOR+URS	EEA1	0.840399699134756	6.61702961032073	3.04347751349461e-06	4.11751631716988e-05
A	1	CTRL	SOR+URS	EEF1A1	-0.396740483630214	14.3593989960838	4.44142924610164e-05	0.000469620055156167
A	1	CTRL	SOR+URS	EEF1B2	-1.10353738137707	9.7706615240768	4.16137946067544e-19	3.39906676072296e-17
A	1	CTRL	SOR+URS	EEF1D	-0.534640888651095	8.3776871466352	0.000126552939559978	0.00121790895957979
A	1	CTRL	SOR+URS	EEF1G	-0.918979109584765	11.2411397267055	3.11700050590038e-17	2.02667062744339e-15
A	1	CTRL	SOR+URS	EFCAB11	-3.08404926743168	3.59561678926921	0.000962004902669614	0.00708306595661362
A	1	CTRL	SOR+URS	EFEMP1	-0.415449607858315	10.7963461822371	0.000127047718408432	0.00122177088438543
A	1	CTRL	SOR+URS	EFHD1	0.681053122993573	5.00868849407364	0.015482529673915	0.0722647072529985
A	1	CTRL	SOR+URS	EFNA4	-5.16519083560693	2.58447519426067	0.00614218707623921	0.0339704794326578
