Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	DTP.A.7.9.1.E11	DTP.A.7.10.1.E12	DTP.A.8.5.1.G3	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	DTP.A.7.9.1.E11.Norm	DTP.A.7.10.1.E12.Norm	DTP.A.8.5.1.G3.Norm
ABCA13	1	3	5	3	0	4	1	4	1	10	5	2	0	7	3	3	0.679585549604012	2.26159656473391	3.60941680955661	2.38531680955238	0	2.88542061347925	1.53586653876284	3.01940299502006	0.822748240100886	5.26982463631789	4.46987152898342	1.84240306843949	0	3.18289594940809	3.20486039246912	2.82742341616287
ABCA2	1	1	2	2	0	0	1	1	3	4	0	2	1	0	0	1	0.679585549604012	0.753865521577971	1.44376672382264	1.59021120636825	0	0	1.53586653876284	0.754850748755015	2.46824472030266	2.10792985452716	0	1.84240306843949	0.693426936916748	0	0	0.942474472054291
ABCA4	6	2	2	3	1	5	2	1	4	1	3	2	3	3	0	4	4.07751329762407	1.50773104315594	1.44376672382264	2.38531680955238	0.94705157354527	3.60677576684906	3.07173307752569	0.754850748755015	3.29099296040354	0.526982463631789	2.68192291739005	1.84240306843949	2.08028081075024	1.36409826403204	0	3.76989788821716
ABCA5	17	15	11	10	6	11	5	15	8	19	11	6	20	18	4	14	11.5529543432682	11.3079828236696	7.94071698102454	7.95105603184125	5.68230944127162	7.93490668706793	7.67933269381422	11.3227612313252	6.58198592080709	10.012666809004	9.83371736376353	5.52720920531848	13.8685387383349	8.18458958419222	4.27314718995883	13.1946426087601
ABCA6	30	31	28	16	16	22	9	29	20	30	18	12	36	40	23	23	20.3875664881204	23.3698311689171	20.212734133517	12.721689650946	15.1528251767243	15.8698133741359	13.8227988488656	21.8906717138954	16.4549648020177	15.8094739089537	16.0915375043403	11.054418410637	24.9633697290029	18.1879768537605	24.5705963422633	21.6769128572487
ABCA8	49	43	58	45	38	42	20	29	27	54	31	33	40	68	36	37	33.2996919305966	32.4162174278527	41.8692349908566	35.7797521432856	35.9879597947203	30.2969164415321	30.7173307752569	21.8906717138954	22.2142024827239	28.4570530361166	27.7132034796972	30.3996506292516	27.7370774766699	30.9195606513928	38.4583247096294	34.8715554660088
ABCA9	56	39	46	45	25	54	25	61	56	74	37	28	74	103	43	53	38.0567907778247	29.4007553415409	33.2066346479208	35.7797521432856	23.6762893386318	38.9531782819699	38.3966634690711	46.0458956740559	46.0739014456496	38.9967023087524	33.0770493144773	25.7936429581529	51.3135933318393	46.8340403984333	45.9363322920574	49.9511470188774
ABCB10	11	14	3	9	5	2	3	5	9	9	10	1	6	13	7	3	7.47544104564413	10.5541173020916	2.16565008573396	7.15595042865713	4.73525786772635	1.44271030673962	4.60759961628853	3.77425374377508	7.40473416090797	4.7428421726861	8.93974305796684	0.921201534219746	4.16056162150049	5.91109247747216	7.47800758242795	2.82742341616287
ABCB5	4	14	4	1	5	8	5	9	8	13	3	6	6	15	6	6	2.71834219841605	10.5541173020916	2.88753344764529	0.795105603184125	4.73525786772635	5.7708412269585	7.67933269381422	6.79365673879514	6.58198592080709	6.85077202721326	2.68192291739005	5.52720920531848	4.16056162150049	6.82049132016018	6.40972078493824	5.65484683232574
ABCB6	15	13	18	19	8	16	6	13	13	17	18	13	18	30	18	11	10.1937832440602	9.80025178051362	12.9939005144038	15.1070064604984	7.57641258836216	11.541682453917	9.21519923257706	9.8130597338152	10.6957271213115	8.95870188174042	16.0915375043403	11.9756199448567	12.4816848645015	13.6409826403204	19.2291623548147	10.3672191925972
