Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	ALE.A.7.17.1.F7	ALE.A.7.18.1.F8	ALE.A.8.13.1.G10	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	ALE.A.7.17.1.F7.Norm	ALE.A.7.18.1.F8.Norm	ALE.A.8.13.1.G10.Norm
AAGAB	25	33	52	55	36	84	24	46	40	87	43	42	57	33	29	67	16.9634552313561	24.4012449979305	37.101289934446	43.874861704953	34.2585533756218	60.0468297309077	36.9111123964252	34.26366949149	33.0217609805926	45.9529524311971	38.3594844731725	38.6509333598305	39.4643765978913	40.9211475991004	39.1236057767605	49.874358426076
AAK1	46	43	41	28	16	25	10	38	32	58	37	24	31	24	17	30	31.2127576256953	31.79556166397	29.2529401406209	22.3362932316124	15.2260237224986	17.8710802770559	15.3796301651771	28.3047704494917	26.417408784474	30.6353016207981	33.0069982676135	22.0862476341889	21.4630820093795	29.7608346175275	22.9345275243079	22.3318022803325
AAMDC	117	112	126	107	123	133	47	125	132	186	116	116	183	77	64	125	79.3889704827467	82.8163466596428	89.8992794565423	85.3565491350904	117.050057366708	95.0741470739372	72.2842617763326	93.1077975312228	108.971811235955	98.2442431287663	103.48139997414	106.75019689858	126.701419603756	95.4826777312342	86.3417506797473	93.0491761680522
AAMP	31	20	32	21	26	19	11	28	26	36	18	27	38	20	12	28	21.0346844868816	14.7886333320791	22.8315630365822	16.7522199237093	24.7422885490602	13.5820210105625	16.9175931816949	20.8561466469939	21.4641446373852	19.0150147991161	16.0574586166769	24.8470285884625	26.3095843985942	24.8006955146063	16.1890782524526	20.8430154616437
AAR2	36	30	49	28	43	57	28	37	27	43	43	41	70	35	20	43	24.4273755331528	22.1829499981186	34.9608308997664	22.3362932316124	40.9199387542149	40.7460630316874	43.062964462496	27.5599080692419	22.2896886619	22.7123787878331	38.3594844731725	37.7306730417393	48.4650238921472	43.401217150561	26.981797087421	32.00891660181
AARD	1	1	5	4	2	3	0	1	3	8	1	1	2	1	1	2	0.678538209254245	0.739431666603954	3.56743172446596	3.19089903308749	1.90325296531232	2.1445296332467	0	0.744862380249782	2.47663207354444	4.22555884424801	0.892081034259825	0.920260318091203	1.38471496834706	1.24003477573031	1.34908985437105	1.48878681868884
AARS	34	29	31	34	27	39	18	26	26	24	30	24	28	18	14	33	23.0702991146443	21.4435183315147	22.118076691689	27.1226417812437	25.6939150317164	27.8788852322071	27.6833342973189	19.3664218864943	21.4641446373852	12.676676532744	26.7624310277948	22.0862476341889	19.3860095568589	22.3206259631456	18.8872579611947	24.5649825083658
AARS2	5	18	8	6	4	8	4	3	6	9	5	6	7	3	3	8	3.39269104627123	13.3097699988712	5.70789075914554	4.78634854963124	3.80650593062464	5.71874568865788	6.15185206607086	2.23458714074935	4.95326414708888	4.75375369977902	4.46040517129913	5.52156190854722	4.84650238921472	3.72010432719094	4.04726956311315	5.95514727475534
AASDH	19	10	11	13	9	11	9	6	16	23	18	8	16	7	9	20	12.8922259758307	7.39431666603954	7.84834979382512	10.3704218575343	8.56463834390545	7.86327532190458	13.8416671486594	4.46917428149869	13.208704392237	12.148481677213	16.0574586166769	7.36208254472963	11.0777197467765	8.6802434301122	12.1418086893395	14.8878681868884
AASDHPPT	82	75	81	68	74	98	29	72	73	116	69	68	79	51	48	98	55.6401331588481	55.4573749952965	57.7923939363486	54.2452835624874	70.4203597165559	70.054634686059	44.6009274790137	53.6300913779843	60.2647137895814	61.2706032415962	61.5535913639279	62.5777016302018	54.696241249709	63.241773562246	64.7563130098105	72.9505541157529
