Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	ALE.A.7.17.1.F7	ALE.A.7.18.1.F8	ALE.A.8.13.1.G10	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	ALE.A.7.17.1.F7.Norm	ALE.A.7.18.1.F8.Norm	ALE.A.8.13.1.G10.Norm
BCLAF1	186	167	191	191	149	174	76	182	161	267	127	149	207	110	90	187	126.20810692129	123.48508832286	136.2758918746	152.365428829928	141.792345915768	124.382718728309	116.885189255346	135.56495320546	132.912587946885	141.028026426777	113.294291350998	137.118787395589	143.317999223921	136.403825330335	121.418086893395	139.201567547406
BCO2	1	1	0	0	0	3	0	0	1	3	0	3	0	0	0	1	0.678538209254245	0.739431666603954	0	0	0	2.1445296332467	0	0	0.825544024514814	1.58458456659301	0	2.76078095427361	0	0	0	0.744393409344418
BCOR	11	8	13	13	9	7	8	9	13	20	18	22	12	9	9	13	7.4639203017967	5.91545333283163	9.27532248361151	10.3704218575343	8.56463834390545	5.00390247757564	12.3037041321417	6.70376142224804	10.7320723186926	10.56389711062	16.0574586166769	20.2457269980065	8.30828981008238	11.1603129815728	12.1418086893395	9.67711432147743
BCORL1	1	3	1	2	1	3	4	3	1	3	1	1	2	1	1	0	0.678538209254245	2.21829499981186	0.713486344893193	1.59544951654375	0.951626482656161	2.1445296332467	6.15185206607086	2.23458714074935	0.825544024514814	1.58458456659301	0.892081034259825	0.920260318091203	1.38471496834706	1.24003477573031	1.34908985437105	0
BCR	1	4	8	7	10	6	2	9	7	5	3	4	5	2	3	6	0.678538209254245	2.95772666641581	5.70789075914554	5.58407330790311	9.51626482656161	4.28905926649341	3.07592603303543	6.70376142224804	5.7788081716037	2.64097427765501	2.67624310277948	3.68104127236481	3.46178742086766	2.48006955146063	4.04726956311315	4.46636045606651
BCS1L	16	18	22	19	19	28	8	16	17	19	22	21	34	17	21	26	10.8566113480679	13.3097699988712	15.6966995876502	15.1567704071656	18.0809031704671	20.0156099103026	12.3037041321417	11.9177980839965	14.0342484167518	10.035702255089	19.6257827537162	19.3254666799153	23.5401544619001	21.0805911874153	28.3308869417921	19.3542286429549
BDH1	14	5	3	6	4	3	2	9	9	13	8	7	7	8	3	10	9.49953492955943	3.69715833301977	2.14045903467958	4.78634854963124	3.80650593062464	2.1445296332467	3.07592603303543	6.70376142224804	7.42989622063333	6.86653312190302	7.1366482740786	6.44182222663842	4.84650238921472	9.92027820584251	4.04726956311315	7.44393409344418
BDH2	94	69	84	98	66	103	28	74	60	116	65	82	122	56	37	89	63.7825916698991	51.0207849956728	59.9328529710282	78.1770263106436	62.8073478553066	73.6288507414701	43.062964462496	55.1198161384839	49.5326414708888	61.2706032415962	57.9852672268886	75.4613460834787	84.4676130691708	69.4419474408976	49.9163246117289	66.2510134316532
BDNF	57	45	55	28	27	64	22	68	66	99	30	17	73	41	28	77	38.676677927492	33.2744249971779	39.2417489691256	22.3362932316124	25.6939150317164	45.749965509263	33.8351863633897	50.6506418569852	54.4859056179777	52.2912906975692	26.7624310277948	15.6444254075505	50.5420963446678	50.8414258049429	37.7745159223894	57.3182925195202
BDNF-AS	5	6	6	9	2	6	1	4	2	3	6	1	12	2	0	6	3.39269104627123	4.43658999962372	4.28091806935916	7.17952282444686	1.90325296531232	4.28905926649341	1.53796301651771	2.97944952099913	1.65108804902963	1.58458456659301	5.35248620555895	0.920260318091203	8.30828981008238	2.48006955146063	0	4.46636045606651
BDP1	95	78	57	53	45	54	33	72	73	93	66	62	70	47	34	53	64.4611298791533	57.6756699951084	40.668721658912	42.2794121884093	42.8231917195273	38.6015333984407	50.7527795450846	53.6300913779843	60.2647137895814	49.1221215643832	58.8773482611485	57.0561397216546	48.4650238921472	58.2816344593247	45.8690550486157	39.4528506952541
BECN1	11	13	10	7	13	11	6	10	13	15	12	11	10	6	12	9	7.4639203017967	9.6126116658514	7.13486344893193	5.58407330790311	12.3711442745301	7.86327532190458	9.22777809910629	7.44862380249782	10.7320723186926	7.92292283296503	10.7049724111179	10.1228634990032	6.92357484173531	7.44020865438188	16.1890782524526	6.69954068409976
BEND2	5	2	7	2	1	2	1	5	5	6	1	3	6	2	2	4	3.39269104627123	1.47886333320791	4.99440441425235	1.59544951654375	0.951626482656161	1.42968642216447	1.53796301651771	3.72431190124891	4.12772012257407	3.16916913318601	0.892081034259825	2.76078095427361	4.15414490504119	2.48006955146063	2.6981797087421	2.97757363737767
BEND3	1	1	2	2	0	1	0	2	0	1	1	3	0	0	2	3	0.678538209254245	0.739431666603954	1.42697268978639	1.59544951654375	0	0.714843211082234	0	1.48972476049956	0	0.528194855531002	0.892081034259825	2.76078095427361	0	0	2.6981797087421	2.23318022803325
BEND3P3	3	5	4	2	0	4	0	4	3	8	8	3	2	0	0	6	2.03561462776274	3.69715833301977	2.85394537957277	1.59544951654375	0	2.85937284432894	0	2.97944952099913	2.47663207354444	4.22555884424801	7.1366482740786	2.76078095427361	1.38471496834706	0	0	4.46636045606651
BEND5	1	1	0	0	0	1	0	1	2	1	0	1	1	1	1	1	0.678538209254245	0.739431666603954	0	0	0	0.714843211082234	0	0.744862380249782	1.65108804902963	0.528194855531002	0	0.920260318091203	0.692357484173531	1.24003477573031	1.34908985437105	0.744393409344418
BEND6	6	4	4	2	2	1	6	5	3	4	2	4	4	2	1	5	4.07122925552547	2.95772666641581	2.85394537957277	1.59544951654375	1.90325296531232	0.714843211082234	9.22777809910629	3.72431190124891	2.47663207354444	2.11277942212401	1.78416206851965	3.68104127236481	2.76942993669413	2.48006955146063	1.34908985437105	3.72196704672209
BEND7	4	1	2	2	1	1	1	3	3	2	3	1	0	3	0	3	2.71415283701698	0.739431666603954	1.42697268978639	1.59544951654375	0.951626482656161	0.714843211082234	1.53796301651771	2.23458714074935	2.47663207354444	1.056389711062	2.67624310277948	0.920260318091203	0	3.72010432719094	0	2.23318022803325
BEST1	3	1	2	2	2	4	0	2	1	1	1	0	0	3	1	2	2.03561462776274	0.739431666603954	1.42697268978639	1.59544951654375	1.90325296531232	2.85937284432894	0	1.48972476049956	0.825544024514814	0.528194855531002	0.892081034259825	0	0	3.72010432719094	1.34908985437105	1.48878681868884
BET1	143	135	127	87	110	129	48	149	129	202	86	99	152	83	76	108	97.0309639233571	99.8232749915338	90.6127658014355	69.402053969653	104.678913092178	92.2147742296082	73.8222247928503	110.984494657218	106.495179162411	106.695360817262	76.718968946345	91.1057714910291	105.238337594377	102.922886385616	102.5308289322	80.3944882091971
BET1L	36	38	32	32	22	25	16	29	34	67	26	31	30	19	13	28	24.4273755331528	28.0984033309502	22.8315630365822	25.5271922646999	20.9357826184355	17.8710802770559	24.6074082642834	21.6010090272437	28.0684968335037	35.3890553205771	23.1941068907555	28.5280698608273	20.7707245252059	23.560660738876	17.5381681068237	20.8430154616437
BEX1	2	2	1	0	2	1	1	0	3	3	0	2	2	0	2	1	1.35707641850849	1.47886333320791	0.713486344893193	0	1.90325296531232	0.714843211082234	1.53796301651771	0	2.47663207354444	1.58458456659301	0	1.84052063618241	1.38471496834706	0	2.6981797087421	0.744393409344418
BEX2	4	1	3	1	3	2	3	2	8	7	3	2	14	2	6	11	2.71415283701698	0.739431666603954	2.14045903467958	0.797724758271873	2.85487944796848	1.42968642216447	4.61388904955314	1.48972476049956	6.60435219611851	3.69736398871701	2.67624310277948	1.84052063618241	9.69300477842944	2.48006955146063	8.09453912622631	8.18832750278859
BEX4	12	3	3	10	5	5	9	9	7	11	10	5	11	5	6	10	8.14245851105094	2.21829499981186	2.14045903467958	7.97724758271873	4.75813241328081	3.57421605541117	13.8416671486594	6.70376142224804	5.7788081716037	5.81014341084102	8.92081034259825	4.60130159045602	7.61593232590885	6.20017387865157	8.09453912622631	7.44393409344418
BFAR	43	54	64	55	42	52	27	41	48	90	57	34	66	41	30	71	29.1771429979325	39.9293099966135	45.6631260731643	43.874861704953	39.9683122715588	37.1718469762762	41.5250014459783	30.5393575902411	39.6261131767111	47.5375369977902	50.84861895281	31.2888508151009	45.6955939554531	50.8414258049429	40.4726956311315	52.8519320634537
BFSP1	0	4	2	1	2	1	2	4	2	2	3	0	0	0	1	2	0	2.95772666641581	1.42697268978639	0.797724758271873	1.90325296531232	0.714843211082234	3.07592603303543	2.97944952099913	1.65108804902963	1.056389711062	2.67624310277948	0	0	0	1.34908985437105	1.48878681868884
BGN	389	345	377	332	268	473	181	325	324	424	276	260	335	248	276	292	263.951363399901	255.103924978364	268.984352024734	264.844619746262	255.035897351851	338.120838841897	278.371305989706	242.080273581179	267.4762639428	223.954618745145	246.214365455712	239.267682703713	231.939757198133	307.528624381118	372.34879980641	217.36287552857
BHLHB9	6	8	10	3	4	8	3	3	3	7	4	2	6	3	1	3	4.07122925552547	5.91545333283163	7.13486344893193	2.39317427481562	3.80650593062464	5.71874568865788	4.61388904955314	2.23458714074935	2.47663207354444	3.69736398871701	3.5683241370393	1.84052063618241	4.15414490504119	3.72010432719094	1.34908985437105	2.23318022803325
BHLHE40	37	28	42	35	29	42	22	37	43	46	34	48	42	32	31	36	25.1059137424071	20.7040866649107	29.9664264855141	27.9203665395156	27.5971679970287	30.0234148654538	33.8351863633897	27.5599080692419	35.498393054137	24.2969633544261	30.3307551648341	44.1724952683778	29.0790143352883	39.68111282337	41.8217854855026	26.798162736399
BHLHE41	115	123	183	147	114	141	73	157	133	169	153	160	163	110	99	132	78.0318940642382	90.9500949922863	130.568001115454	117.265539465965	108.485419022802	100.792892762595	112.271300205793	116.943393699216	109.79735526047	89.2649305847393	136.488398241753	147.241650894593	112.854269920286	136.403825330335	133.559895582734	98.2599300334631
BHMT	3	0	2	0	1	0	1	0	2	2	1	0	0	0	0	0	2.03561462776274	0	1.42697268978639	0	0.951626482656161	0	1.53796301651771	0	1.65108804902963	1.056389711062	0.892081034259825	0	0	0	0	0
BHMT2	5	2	5	1	4	4	2	5	1	9	2	7	9	2	0	3	3.39269104627123	1.47886333320791	3.56743172446596	0.797724758271873	3.80650593062464	2.85937284432894	3.07592603303543	3.72431190124891	0.825544024514814	4.75375369977902	1.78416206851965	6.44182222663842	6.23121735756178	2.48006955146063	0	2.23318022803325
BICC1	29	27	19	23	5	16	17	31	21	34	22	29	16	13	8	22	19.6776080683731	19.9646549983067	13.5562405529707	18.3476694402531	4.75813241328081	11.4374913773158	26.1453712808012	23.0907337877433	17.3364245148111	17.9586250880541	19.6257827537162	26.6875492246449	11.0777197467765	16.1204520844941	10.7927188349684	16.3766550055772
BICD1	7	4	9	5	4	2	1	8	6	6	10	5	5	6	6	2	4.74976746477972	2.95772666641581	6.42137710403874	3.98862379135937	3.80650593062464	1.42968642216447	1.53796301651771	5.95889904199826	4.95326414708888	3.16916913318601	8.92081034259825	4.60130159045602	3.46178742086766	7.44020865438188	8.09453912622631	1.48878681868884
BICD2	14	19	14	15	17	15	11	15	11	25	29	9	9	9	11	10	9.49953492955943	14.0492016654751	9.9888088285047	11.9658713740781	16.1776502051547	10.7226481662335	16.9175931816949	11.1729357037467	9.08098426966295	13.204871388275	25.8703499935349	8.28234286282083	6.23121735756178	11.1603129815728	14.8399883980816	7.44393409344418
BID	14	14	12	19	8	22	8	15	17	20	10	13	21	7	9	14	9.49953492955943	10.3520433324554	8.56183613871831	15.1567704071656	7.61301186124929	15.7265506438092	12.3037041321417	11.1729357037467	14.0342484167518	10.56389711062	8.92081034259825	11.9633841351856	14.5395071676442	8.6802434301122	12.1418086893395	10.4215077308218
BIN1	4	13	4	3	4	5	0	4	1	5	7	4	5	3	2	4	2.71415283701698	9.6126116658514	2.85394537957277	2.39317427481562	3.80650593062464	3.57421605541117	0	2.97944952099913	0.825544024514814	2.64097427765501	6.24456723981878	3.68104127236481	3.46178742086766	3.72010432719094	2.6981797087421	2.97757363737767
BIN3	30	19	46	43	34	40	16	28	35	45	34	27	39	25	17	39	20.3561462776274	14.0492016654751	32.8203718650869	34.3021646056905	32.3553004103095	28.5937284432894	24.6074082642834	20.8561466469939	28.8940408580185	23.7687684988951	30.3307551648341	24.8470285884625	27.0019418827677	31.0008693932578	22.9345275243079	29.0313429644323
BIN3-IT1	4	4	3	3	2	2	1	6	4	4	2	2	3	5	4	3	2.71415283701698	2.95772666641581	2.14045903467958	2.39317427481562	1.90325296531232	1.42968642216447	1.53796301651771	4.46917428149869	3.30217609805926	2.11277942212401	1.78416206851965	1.84052063618241	2.07707245252059	6.20017387865157	5.3963594174842	2.23318022803325
BIRC2	54	62	35	50	39	53	25	47	42	64	17	30	51	35	47	41	36.6410632997292	45.8447633294451	24.9720220712618	39.8862379135937	37.1134328235903	37.8866901873584	38.4490754129429	35.0085318717398	34.6728490296222	33.8044707539841	15.165377582417	27.6078095427361	35.3102316928501	43.401217150561	63.4072231554394	30.5201297831211
BIRC3	2	0	1	2	1	1	0	0	0	3	0	0	1	0	0	0	1.35707641850849	0	0.713486344893193	1.59544951654375	0.951626482656161	0.714843211082234	0	0	0	1.58458456659301	0	0	0.692357484173531	0	0	0
BIRC5	3	0	4	2	1	1	0	2	0	2	0	1	0	0	1	1	2.03561462776274	0	2.85394537957277	1.59544951654375	0.951626482656161	0.714843211082234	0	1.48972476049956	0	1.056389711062	0	0.920260318091203	0	0	1.34908985437105	0.744393409344418
BIRC6	82	45	49	42	32	40	15	49	58	77	34	33	42	23	19	34	55.6401331588481	33.2744249971779	34.9608308997664	33.5044398474187	30.4520474449972	28.5937284432894	23.0694452477657	36.4982566322393	47.8815534218592	40.6710038758871	30.3307551648341	30.3685904970097	29.0790143352883	28.5207998417972	25.63270723305	25.3093759177102
BIVM	23	20	14	13	11	26	11	9	14	14	21	12	11	14	14	18	15.6063788128476	14.7886333320791	9.9888088285047	10.3704218575343	10.4678913092178	18.5859234881381	16.9175931816949	6.70376142224804	11.5576163432074	7.39472797743402	18.7337017194563	11.0431238170944	7.61593232590885	17.3604868602244	18.8872579611947	13.3990813681995
BLCAP	23	26	25	23	16	31	12	28	27	35	24	14	29	16	14	28	15.6063788128476	19.2252233317028	17.8371586223298	18.3476694402531	15.2260237224986	22.1601395435493	18.4555561982126	20.8561466469939	22.2896886619	18.4868199435851	21.4099448222358	12.8836444532768	20.0783670410324	19.840556411685	18.8872579611947	20.8430154616437
BLID	2	3	1	2	0	0	0	1	4	1	2	1	2	1	0	0	1.35707641850849	2.21829499981186	0.713486344893193	1.59544951654375	0	0	0	0.744862380249782	3.30217609805926	0.528194855531002	1.78416206851965	0.920260318091203	1.38471496834706	1.24003477573031	0	0
BLMH	19	19	22	9	10	19	11	17	21	18	18	16	14	12	10	24	12.8922259758307	14.0492016654751	15.6966995876502	7.17952282444686	9.51626482656161	13.5820210105625	16.9175931816949	12.6626604642463	17.3364245148111	9.50750739955803	16.0574586166769	14.7241650894593	9.69300477842944	14.8804173087638	13.4908985437105	17.865441824266
BLOC1S1	122	84	88	85	78	135	38	92	86	109	69	70	107	61	79	112	82.7816615290179	62.1122599947321	62.786798350601	67.8066044531092	74.2268656471806	96.5038334961016	58.4425946276732	68.52733898298	70.996786108274	57.5732392528792	61.5535913639279	64.4182222663842	74.0822508065679	75.6421213195491	106.578098495313	83.3720618465748
BLOC1S2	151	129	117	125	84	146	41	121	136	187	85	98	142	71	75	156	102.459269597391	95.38668499191	83.4779023525036	99.7155947839841	79.9366245431175	104.367108818006	63.0564836772263	90.1283480102237	112.273987334015	98.7724379842973	75.8268879120851	90.1855111729379	98.3147627526415	88.0424690768523	101.181739077829	116.125371857729
BLOC1S3	21	18	19	14	18	15	13	26	16	25	18	13	21	9	10	18	14.2493023943392	13.3097699988712	13.5562405529707	11.1681466158062	17.1292766878109	10.7226481662335	19.9935192147303	19.3664218864943	13.208704392237	13.204871388275	16.0574586166769	11.9633841351856	14.5395071676442	11.1603129815728	13.4908985437105	13.3990813681995
BLOC1S4	7	7	3	8	3	9	1	3	4	6	6	3	9	3	3	7	4.74976746477972	5.17602166622768	2.14045903467958	6.38179806617498	2.85487944796848	6.43358889974011	1.53796301651771	2.23458714074935	3.30217609805926	3.16916913318601	5.35248620555895	2.76078095427361	6.23121735756178	3.72010432719094	4.04726956311315	5.21075386541092
BLOC1S5	0	2	0	1	1	0	0	1	0	0	2	1	0	0	1	0	0	1.47886333320791	0	0.797724758271873	0.951626482656161	0	0	0.744862380249782	0	0	1.78416206851965	0.920260318091203	0	0	1.34908985437105	0
BLOC1S6	74	80	64	63	56	52	28	71	67	85	49	61	76	51	35	72	50.2118274848142	59.1545333283163	45.6631260731643	50.256659771128	53.291083028745	37.1718469762762	43.062964462496	52.8852289977345	55.3114496424925	44.8965627201351	43.7119706787314	56.1358794035634	52.6191687971884	63.241773562246	47.2181449029868	53.5963254727981
BLVRA	105	106	114	78	80	123	48	102	89	140	102	91	144	60	61	130	71.2465119716958	78.3797566600191	81.337443317824	62.2225311452061	76.1301186124929	87.9257149631148	73.8222247928503	75.9759627854778	73.4734181818184	73.9472797743402	90.9922654945022	83.7436889462995	99.6994777209885	74.4020865438188	82.2944811166341	96.7711432147743
BLVRB	33	27	38	32	24	33	12	17	24	37	20	17	40	31	17	18	22.3917609053901	19.9646549983067	27.1124811059413	25.5271922646999	22.8390355837479	23.5898259657137	18.4555561982126	12.6626604642463	19.8130565883555	19.5432096546471	17.8416206851965	15.6444254075505	27.6942993669413	38.4410780476397	22.9345275243079	13.3990813681995
BLZF1	20	12	21	16	16	15	2	22	19	25	21	15	11	7	12	13	13.5707641850849	8.87317999924744	14.9832132427571	12.76359613235	15.2260237224986	10.7226481662335	3.07592603303543	16.3869723654952	15.6853364657815	13.204871388275	18.7337017194563	13.8039047713681	7.61593232590885	8.6802434301122	16.1890782524526	9.67711432147743
BMP1	13	17	9	14	8	12	0	16	14	15	6	2	14	7	6	11	8.82099672030519	12.5703383322672	6.42137710403874	11.1681466158062	7.61301186124929	8.57811853298681	0	11.9177980839965	11.5576163432074	7.92292283296503	5.35248620555895	1.84052063618241	9.69300477842944	8.6802434301122	8.09453912622631	8.18832750278859
BMP2	1	3	1	0	1	2	1	1	0	2	1	0	0	2	1	0	0.678538209254245	2.21829499981186	0.713486344893193	0	0.951626482656161	1.42968642216447	1.53796301651771	0.744862380249782	0	1.056389711062	0.892081034259825	0	0	2.48006955146063	1.34908985437105	0
BMP2K	4	4	3	3	2	1	3	4	3	2	1	1	1	2	1	4	2.71415283701698	2.95772666641581	2.14045903467958	2.39317427481562	1.90325296531232	0.714843211082234	4.61388904955314	2.97944952099913	2.47663207354444	1.056389711062	0.892081034259825	0.920260318091203	0.692357484173531	2.48006955146063	1.34908985437105	2.97757363737767
BMP3	0	0	0	1	1	0	0	3	1	2	0	0	1	1	1	2	0	0	0	0.797724758271873	0.951626482656161	0	0	2.23458714074935	0.825544024514814	1.056389711062	0	0	0.692357484173531	1.24003477573031	1.34908985437105	1.48878681868884
BMP4	75	83	68	49	54	58	43	87	74	113	46	31	81	26	27	83	50.8903656940684	61.3728283281282	48.5170714527371	39.0885131553218	51.3878300634327	41.4609062427696	66.1324097102617	64.8030270817311	61.0902578140962	59.6860186750032	41.035727575952	28.5280698608273	56.080956218056	32.2409041689882	36.4254260680184	61.7846529755867
BMP6	12	14	18	15	5	12	7	16	10	24	12	11	14	12	9	9	8.14245851105094	10.3520433324554	12.8427542080775	11.9658713740781	4.75813241328081	8.57811853298681	10.765741115624	11.9177980839965	8.25544024514814	12.676676532744	10.7049724111179	10.1228634990032	9.69300477842944	14.8804173087638	12.1418086893395	6.69954068409976
BMP7	7	1	3	4	0	2	1	5	3	4	4	4	6	2	2	3	4.74976746477972	0.739431666603954	2.14045903467958	3.19089903308749	0	1.42968642216447	1.53796301651771	3.72431190124891	2.47663207354444	2.11277942212401	3.5683241370393	3.68104127236481	4.15414490504119	2.48006955146063	2.6981797087421	2.23318022803325
BMP8A	1	1	1	1	2	1	1	0	0	3	0	0	1	3	1	0	0.678538209254245	0.739431666603954	0.713486344893193	0.797724758271873	1.90325296531232	0.714843211082234	1.53796301651771	0	0	1.58458456659301	0	0	0.692357484173531	3.72010432719094	1.34908985437105	0
BMPER	0	1	0	1	0	0	0	2	1	0	0	0	2	1	1	0	0	0.739431666603954	0	0.797724758271873	0	0	0	1.48972476049956	0.825544024514814	0	0	0	1.38471496834706	1.24003477573031	1.34908985437105	0
BMPR1A	12	13	9	12	12	13	10	10	8	17	14	11	11	8	6	10	8.14245851105094	9.6126116658514	6.42137710403874	9.57269709926248	11.4195177918739	9.29296174406905	15.3796301651771	7.44862380249782	6.60435219611851	8.97931254402703	12.4891344796376	10.1228634990032	7.61593232590885	9.92027820584251	8.09453912622631	7.44393409344418
BMPR2	86	84	62	87	40	59	42	79	62	106	48	52	53	49	34	63	58.3542859958651	62.1122599947321	44.236153383378	69.402053969653	38.0650593062464	42.1757494538518	64.594446693744	58.8441280397328	51.1837295199185	55.9886546862862	42.8198896444716	47.8535365407426	36.6949466611972	60.7617040107854	45.8690550486157	46.8967847886983
BMS1	90	72	66	66	46	75	34	77	82	105	72	54	82	38	42	57	61.0684388328821	53.2390799954847	47.0900987629507	52.6498340459436	43.7748182021834	53.6132408311676	52.2907425616023	57.3544032792332	67.6946100102147	55.4604598307552	64.2298344667074	49.694057176925	56.7733137022296	47.1213214777519	56.6617738835842	42.4304243326318
BMS1P1	6	4	4	2	3	2	4	4	5	7	3	2	5	3	2	7	4.07122925552547	2.95772666641581	2.85394537957277	1.59544951654375	2.85487944796848	1.42968642216447	6.15185206607086	2.97944952099913	4.12772012257407	3.69736398871701	2.67624310277948	1.84052063618241	3.46178742086766	3.72010432719094	2.6981797087421	5.21075386541092
BMS1P2	2	5	3	3	2	1	1	2	3	0	5	2	2	4	1	2	1.35707641850849	3.69715833301977	2.14045903467958	2.39317427481562	1.90325296531232	0.714843211082234	1.53796301651771	1.48972476049956	2.47663207354444	0	4.46040517129913	1.84052063618241	1.38471496834706	4.96013910292126	1.34908985437105	1.48878681868884
BMS1P4	3	3	6	0	0	2	1	2	2	6	5	1	2	2	1	4	2.03561462776274	2.21829499981186	4.28091806935916	0	0	1.42968642216447	1.53796301651771	1.48972476049956	1.65108804902963	3.16916913318601	4.46040517129913	0.920260318091203	1.38471496834706	2.48006955146063	1.34908985437105	2.97757363737767
BMS1P5	5	7	4	4	6	6	3	5	3	10	5	4	1	3	2	3	3.39269104627123	5.17602166622768	2.85394537957277	3.19089903308749	5.70975889593697	4.28905926649341	4.61388904955314	3.72431190124891	2.47663207354444	5.28194855531002	4.46040517129913	3.68104127236481	0.692357484173531	3.72010432719094	2.6981797087421	2.23318022803325
BMS1P6	6	4	2	5	1	0	1	3	4	6	3	0	1	1	1	5	4.07122925552547	2.95772666641581	1.42697268978639	3.98862379135937	0.951626482656161	0	1.53796301651771	2.23458714074935	3.30217609805926	3.16916913318601	2.67624310277948	0	0.692357484173531	1.24003477573031	1.34908985437105	3.72196704672209
BNC1	1	5	4	1	0	3	2	9	5	6	1	3	5	6	1	6	0.678538209254245	3.69715833301977	2.85394537957277	0.797724758271873	0	2.1445296332467	3.07592603303543	6.70376142224804	4.12772012257407	3.16916913318601	0.892081034259825	2.76078095427361	3.46178742086766	7.44020865438188	1.34908985437105	4.46636045606651
BNC2	19	14	15	15	12	17	10	14	12	19	6	14	16	15	7	17	12.8922259758307	10.3520433324554	10.7022951733979	11.9658713740781	11.4195177918739	12.152334588398	15.3796301651771	10.428073323497	9.90652829417777	10.035702255089	5.35248620555895	12.8836444532768	11.0777197467765	18.6005216359547	9.44362898059736	12.6546879588551
BNIP1	52	38	59	34	49	48	15	44	38	78	30	46	52	27	34	47	35.2839868812208	28.0984033309502	42.0956943486984	27.1226417812437	46.6296976501519	34.3124741319473	23.0694452477657	32.7739447309904	31.3706729315629	41.1991987314181	26.7624310277948	42.3319746321954	36.0025891770236	33.4809389447185	45.8690550486157	34.9864902391876
BNIP2	15	28	23	22	12	25	15	24	22	40	20	19	22	14	9	22	10.1780731388137	20.7040866649107	16.4101859325434	17.5499446819812	11.4195177918739	17.8710802770559	23.0694452477657	17.8766971259948	18.1619685393259	21.1277942212401	17.8416206851965	17.4849460437329	15.2318646518177	17.3604868602244	12.1418086893395	16.3766550055772
BNIP3	262	236	214	181	161	184	81	243	224	389	185	169	256	165	124	229	177.777010824612	174.505873318533	152.686077807143	144.388181247209	153.211863707642	131.531150839131	124.575004337935	181.001558400697	184.921861491318	205.46779880156	165.034991338068	155.523993757413	177.243515948424	204.605737995502	167.28714194201	170.466090739872
BNIP3L	1058	1030	1055	960	861	1053	418	973	976	1491	807	795	1297	622	648	1144	717.893425390992	761.614616602072	752.728093862318	765.815767940998	819.350401566955	752.729901269593	642.868540904405	724.751095983038	805.730967926458	787.538529596724	719.909394647679	731.606952882507	897.98765697307	771.301630504255	874.210225632441	851.586060290014
BNIPL	2	4	6	5	0	4	1	1	2	7	2	0	1	3	1	2	1.35707641850849	2.95772666641581	4.28091806935916	3.98862379135937	0	2.85937284432894	1.53796301651771	0.744862380249782	1.65108804902963	3.69736398871701	1.78416206851965	0	0.692357484173531	3.72010432719094	1.34908985437105	1.48878681868884
BOD1	23	34	27	24	21	22	14	20	15	31	20	15	13	14	15	26	15.6063788128476	25.1406766645344	19.2641313121162	19.145394198525	19.9841561357794	15.7265506438092	21.531482231248	14.8972476049956	12.3831603677222	16.3740405214611	17.8416206851965	13.8039047713681	9.00064729425591	17.3604868602244	20.2363478155658	19.3542286429549
BOD1L1	80	66	45	65	33	64	29	79	40	99	53	47	54	24	25	22	54.2830567403396	48.8024899958609	32.1068855201937	51.8521092876718	31.4036739276533	45.749965509263	44.6009274790137	58.8441280397328	33.0217609805926	52.2912906975692	47.2802948157707	43.2522349502866	37.3873041453707	29.7608346175275	33.7272463592763	16.3766550055772
BOK	6	3	0	5	8	5	2	4	4	10	4	3	3	3	2	6	4.07122925552547	2.21829499981186	0	3.98862379135937	7.61301186124929	3.57421605541117	3.07592603303543	2.97944952099913	3.30217609805926	5.28194855531002	3.5683241370393	2.76078095427361	2.07707245252059	3.72010432719094	2.6981797087421	4.46636045606651
BOLA1	4	5	6	4	5	9	3	6	4	6	5	9	9	5	1	5	2.71415283701698	3.69715833301977	4.28091806935916	3.19089903308749	4.75813241328081	6.43358889974011	4.61388904955314	4.46917428149869	3.30217609805926	3.16916913318601	4.46040517129913	8.28234286282083	6.23121735756178	6.20017387865157	1.34908985437105	3.72196704672209
BOLA3	82	84	76	76	62	94	28	71	74	131	72	63	90	52	44	81	55.6401331588481	62.1122599947321	54.2249622118827	60.6270816286624	59.000841924682	67.19526184173	43.062964462496	52.8852289977345	61.0902578140962	69.1935260745612	64.2298344667074	57.9764000397458	62.3121735756178	64.4818083379763	59.3599535923263	60.2958661568978
