Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	DOM.A.4.13.1.B7	DOM.A.4.14.1.B8	DOM.A.5.11.1.C7	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	DOM.A.4.13.1.B7.Norm	DOM.A.4.14.1.B8.Norm	DOM.A.5.11.1.C7.Norm
AAGAB	25	33	52	55	36	84	24	46	40	87	43	42	57	49	48	52	17.0595585213276	24.3860920326177	37.1285262725318	44.7601182577139	34.9560067227865	60.2151016544988	37.6454028356105	34.4707571519447	33.4459778922563	46.016352641649	38.8509800814579	39.3234932525557	38.6163555501678	44.2047701530426	41.8006987765415	44.9330807101559
AAK1	46	43	41	28	16	25	10	38	32	58	37	24	31	18	26	26	31.3895876792428	31.7758168909867	29.2744149456501	22.7869692948362	15.5360029879051	17.9211612066961	15.6855845148377	28.47584286465	26.756782313805	30.677568427766	33.4299130933475	22.470567572889	21.0018775799158	16.2384869949952	22.6420451706267	22.4665403550779
AAMDC	117	112	126	107	123	133	47	125	132	186	116	116	183	114	111	88	79.8387338798133	82.7649184137328	89.965275198827	87.0787755195525	119.433022969521	95.3405776196231	73.7222472197373	93.6705357389802	110.371727044446	98.379788406284	104.807295103468	108.607743268963	123.978825713696	102.843750968303	96.6641159207523	76.0405981248792
AAMP	31	20	32	21	26	19	11	28	26	36	18	27	38	20	17	19	21.1538525664463	14.779449716738	22.8483238600196	17.0902269711271	25.2460048553458	13.620082517089	17.2541429663215	20.9822000055316	21.7398856299666	19.0412493689582	16.2632009643312	25.2793885195001	25.7442370334452	18.0427633277725	14.8044141500251	16.4178564133262
AAR2	36	30	49	28	43	57	28	37	27	43	43	41	70	26	24	40	24.5657642707118	22.169174575107	34.986495910655	22.7869692948362	41.753008029995	40.8602475512671	43.9196366415456	27.7264785787381	22.576035077273	22.7437145240334	38.8509800814579	38.3872196036853	47.4235945352937	23.4555923261042	20.9003493882708	34.5639082385814
AARD	1	1	5	4	2	3	0	1	3	8	1	1	2	4	1	6	0.682382340853105	0.7389724858369	3.57005060312806	3.25528132783374	1.94200037348814	2.15053934480353	0	0.749364285911842	2.50844834191922	4.23138874865738	0.903511164685068	0.936273648870374	1.35495984386554	3.6085526655545	0.870847891177948	5.18458623578722
AARS	34	29	31	34	27	39	18	26	26	24	30	24	28	22	19	22	23.2009995890056	21.4302020892701	22.134313739394	27.6698912865868	26.2170050420899	27.9570114824459	28.2340521267079	19.4834714337079	21.7398856299666	12.6941662459721	27.105334940552	22.470567572889	18.9694378141175	19.8470396605497	16.546109932381	19.0101495312198
AARS2	5	18	8	6	4	8	4	3	6	9	5	6	7	2	8	6	3.41191170426553	13.3015047450642	5.71208096500489	4.88292199175061	3.88400074697628	5.73477158614274	6.27423380593509	2.24809285773553	5.01689668383845	4.76031234223955	4.51755582342534	5.61764189322224	4.74235945352937	1.80427633277725	6.96678312942359	5.18458623578722
AASDH	19	10	11	13	9	11	9	6	16	23	18	8	16	17	8	14	12.965264476209	7.389724858369	7.85411132688173	10.5796643154597	8.73900168069662	7.88531093094627	14.1170260633539	4.49618571547105	13.3783911569025	12.16524265239	16.2632009643312	7.49018919096299	10.8396787509243	15.3363488286066	6.96678312942359	12.0973678835035
AASDHPPT	82	75	81	68	74	98	29	72	73	116	69	68	79	68	81	71	55.9553519499546	55.4229364377675	57.8348197706745	55.3397825731736	71.8540138190611	70.2509519302486	45.4881950930294	53.9542285856526	61.0389096533678	61.355136855532	62.3422703632697	63.6666081231854	53.5209138326886	61.3453953144265	70.5386791854138	61.3509371234821
