Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	DOM.A.4.13.1.B7	DOM.A.4.14.1.B8	DOM.A.5.11.1.C7	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	DOM.A.4.13.1.B7.Norm	DOM.A.4.14.1.B8.Norm	DOM.A.5.11.1.C7.Norm
CCDC132	16	8	18	6	7	11	8	11	8	20	8	11	13	6	6	10	10.9181174536497	5.9117798866952	12.852182171261	4.88292199175061	6.79700130720848	7.88531093094627	12.5484676118702	8.24300714503026	6.68919557845126	10.5784718716434	7.22808931748054	10.2990101375741	8.80723898512598	5.41282899833175	5.22508734706769	8.64097705964536
CCDC134	0	1	2	0	1	2	0	1	1	0	0	1	0	3	1	0	0	0.7389724858369	1.42802024125122	0	0.971000186744069	1.43369289653569	0	0.749364285911842	0.836149447306408	0	0	0.936273648870374	0	2.70641449916587	0.870847891177948	0
CCDC136	0	5	3	1	6	3	3	5	1	2	8	0	2	4	0	2	0	3.6948624291845	2.14203036187683	0.813820331958435	5.82600112046442	2.15053934480353	4.70567535445131	3.74682142955921	0.836149447306408	1.05784718716434	7.22808931748054	0	1.35495984386554	3.6085526655545	0	1.72819541192907
CCDC137	19	19	10	5	18	15	6	15	10	17	14	9	14	11	13	15	12.965264476209	14.0404772309011	7.14010120625611	4.06910165979217	17.4780033613932	10.7526967240176	9.41135070890263	11.2404642886776	8.36149447306408	8.99170109089693	12.6491563055909	8.42646283983337	9.48471890705875	9.92351983027487	11.3210225853133	12.961465589468
CCDC138	6	2	11	2	6	3	2	3	3	4	2	4	2	3	4	4	4.09429404511863	1.4779449716738	7.85411132688173	1.62764066391687	5.82600112046442	2.15053934480353	3.13711690296754	2.24809285773553	2.50844834191922	2.11569437432869	1.80702232937014	3.7450945954815	1.35495984386554	2.70641449916587	3.48339156471179	3.45639082385815
CCDC14	21	17	26	26	16	29	10	21	19	34	22	17	21	28	26	21	14.3300291579152	12.5625322592273	18.5642631362659	21.1593286309193	15.5360029879051	20.7885469997674	15.6855845148377	15.7366500041487	15.8868394988217	17.9834021817939	19.8772456230715	15.9166520307964	14.2270783605881	25.2598686588815	22.6420451706267	18.1460518252553
CCDC140	0	1	1	0	0	0	1	2	0	0	2	0	0	0	1	1	0	0.7389724858369	0.714010120625611	0	0	0	1.56855845148377	1.49872857182368	0	0	1.80702232937014	0	0	0	0.870847891177948	0.864097705964536
CCDC142	23	12	21	17	8	11	3	14	11	15	15	9	23	13	9	17	15.6947938396214	8.8676698300428	14.9942125331378	13.8349456432934	7.76800149395255	7.88531093094627	4.70567535445131	10.4911000027658	9.19764392037048	7.93385390373258	13.552667470276	8.42646283983337	15.5820382044537	11.7277961630521	7.83763102060153	14.6896610013971
CCDC144B	10	5	8	6	5	10	0	15	9	17	5	3	6	7	9	6	6.82382340853105	3.6948624291845	5.71208096500489	4.88292199175061	4.85500093372035	7.16846448267843	0	11.2404642886776	7.52534502575767	8.99170109089693	4.51755582342534	2.80882094661112	4.06487953159661	6.31496716472037	7.83763102060153	5.18458623578722
CCDC146	40	23	27	37	22	32	6	17	13	26	20	18	24	10	22	28	27.2952936341242	16.9963671742487	19.2782732568915	30.1113522824621	21.3620041083695	22.939086344571	9.41135070890263	12.7391928605013	10.8699428149833	13.7520134331365	18.0702232937014	16.8529256796667	16.2595181263864	9.02138166388624	19.1586536059149	24.194735767007
CCDC148	2	0	6	1	1	4	1	7	5	3	1	7	5	0	4	2	1.36476468170621	0	4.28406072375367	0.813820331958435	0.971000186744069	2.86738579307137	1.56855845148377	5.24555000138289	4.18074723653204	1.58677078074652	0.903511164685068	6.55391554209262	3.38739960966384	0	3.48339156471179	1.72819541192907
CCDC149	2	1	8	4	0	4	5	3	3	6	2	1	1	4	3	3	1.36476468170621	0.7389724858369	5.71208096500489	3.25528132783374	0	2.86738579307137	7.84279225741886	2.24809285773553	2.50844834191922	3.17354156149303	1.80702232937014	0.936273648870374	0.677479921932768	3.6085526655545	2.61254367353384	2.59229311789361
CCDC15	4	3	4	0	1	2	0	3	3	4	2	1	0	0	5	0	2.72952936341242	2.2169174575107	2.85604048250245	0	0.971000186744069	1.43369289653569	0	2.24809285773553	2.50844834191922	2.11569437432869	1.80702232937014	0.936273648870374	0	0	4.35423945588974	0
CCDC150	3	0	1	1	1	2	0	2	1	2	0	2	0	1	2	1	2.04714702255932	0	0.714010120625611	0.813820331958435	0.971000186744069	1.43369289653569	0	1.49872857182368	0.836149447306408	1.05784718716434	0	1.87254729774075	0	0.902138166388624	1.7416957823559	0.864097705964536
CCDC152	10	10	5	6	7	6	5	8	8	7	10	4	6	7	11	3	6.82382340853105	7.389724858369	3.57005060312806	4.88292199175061	6.79700130720848	4.30107868960706	7.84279225741886	5.99491428729474	6.68919557845126	3.70246515507521	9.03511164685068	3.7450945954815	4.06487953159661	6.31496716472037	9.57932680295743	2.59229311789361
CCDC159	3	4	4	2	2	3	2	5	7	5	1	1	7	1	1	8	2.04714702255932	2.9558899433476	2.85604048250245	1.62764066391687	1.94200037348814	2.15053934480353	3.13711690296754	3.74682142955921	5.85304613114485	2.64461796791086	0.903511164685068	0.936273648870374	4.74235945352937	0.902138166388624	0.870847891177948	6.91278164771629
CCDC163P	5	4	8	4	2	4	1	4	6	6	3	6	7	6	2	3	3.41191170426553	2.9558899433476	5.71208096500489	3.25528132783374	1.94200037348814	2.86738579307137	1.56855845148377	2.99745714364737	5.01689668383845	3.17354156149303	2.7105334940552	5.61764189322224	4.74235945352937	5.41282899833175	1.7416957823559	2.59229311789361
CCDC167	132	89	121	106	92	117	46	107	90	140	80	84	154	87	100	98	90.0744689926099	65.7685512394841	86.395224595699	86.2649551875941	89.3320171804544	83.8710344473376	72.1536887682535	80.1819785925671	75.2534502575767	74.0493031015041	72.2808931748054	78.6469865051114	104.331907977646	78.4860204758103	87.0847891177948	84.6815751845245
CCDC169	0	1	0	0	0	1	1	2	0	3	0	1	0	0	1	1	0	0.7389724858369	0	0	0	0.716846448267843	1.56855845148377	1.49872857182368	0	1.58677078074652	0	0.936273648870374	0	0	0.870847891177948	0.864097705964536
CCDC170	2	2	5	2	3	1	2	6	1	3	1	3	5	2	5	3	1.36476468170621	1.4779449716738	3.57005060312806	1.62764066391687	2.91300056023221	0.716846448267843	3.13711690296754	4.49618571547105	0.836149447306408	1.58677078074652	0.903511164685068	2.80882094661112	3.38739960966384	1.80427633277725	4.35423945588974	2.59229311789361
CCDC171	16	15	12	13	5	12	7	17	15	24	9	11	18	12	8	11	10.9181174536497	11.0845872875535	8.56812144750734	10.5796643154597	4.85500093372035	8.60215737921412	10.9799091603864	12.7391928605013	12.5422417095961	12.6941662459721	8.13160048216561	10.2990101375741	12.1946385947898	10.8256579966635	6.96678312942359	9.5050747656099
CCDC172	30	32	23	20	16	28	13	21	20	39	24	22	42	22	20	23	20.4714702255932	23.6471195467808	16.4222327743891	16.2764066391687	15.5360029879051	20.0717005514996	20.391259869289	15.7366500041487	16.7229889461282	20.6280201497047	21.6842679524416	20.5980202751482	28.4541567211762	19.8470396605497	17.416957823559	19.8742472371843
CCDC174	73	67	71	47	62	73	35	79	72	112	56	62	88	63	68	77	49.8139108822767	49.5111565510723	50.6947185644184	38.2495556020464	60.2020115781323	52.3297907235525	54.899545801932	59.1997785870355	60.2027602060614	59.2394424812033	50.5966252223638	58.0489662299632	59.6182331300836	56.8347044824833	59.2176566001005	66.5355233592693
CCDC176	19	18	8	9	6	7	5	11	12	15	9	9	18	9	8	8	12.965264476209	13.3015047450642	5.71208096500489	7.32438298762591	5.82600112046442	5.0179251378749	7.84279225741886	8.24300714503026	10.0337933676769	7.93385390373258	8.13160048216561	8.42646283983337	12.1946385947898	8.11924349749762	6.96678312942359	6.91278164771629
CCDC18	4	9	5	2	1	6	3	3	10	7	6	7	7	5	4	6	2.72952936341242	6.6507523725321	3.57005060312806	1.62764066391687	0.971000186744069	4.30107868960706	4.70567535445131	2.24809285773553	8.36149447306408	3.70246515507521	5.42106698811041	6.55391554209262	4.74235945352937	4.51069083194312	3.48339156471179	5.18458623578722
CCDC181	0	2	2	2	4	4	0	1	0	2	0	1	2	2	1	3	0	1.4779449716738	1.42802024125122	1.62764066391687	3.88400074697628	2.86738579307137	0	0.749364285911842	0	1.05784718716434	0	0.936273648870374	1.35495984386554	1.80427633277725	0.870847891177948	2.59229311789361
CCDC19	1	0	0	0	0	3	0	1	2	4	1	1	1	3	1	0	0.682382340853105	0	0	0	0	2.15053934480353	0	0.749364285911842	1.67229889461282	2.11569437432869	0.903511164685068	0.936273648870374	0.677479921932768	2.70641449916587	0.870847891177948	0
CCDC22	1	1	2	1	2	3	1	1	1	0	1	1	1	1	2	1	0.682382340853105	0.7389724858369	1.42802024125122	0.813820331958435	1.94200037348814	2.15053934480353	1.56855845148377	0.749364285911842	0.836149447306408	0	0.903511164685068	0.936273648870374	0.677479921932768	0.902138166388624	1.7416957823559	0.864097705964536
CCDC23	38	46	39	43	39	54	14	41	35	63	36	40	63	32	33	38	25.930528952418	33.9927343484974	27.8463947043988	34.9942742742127	37.8690072830187	38.7097082064635	21.9598183207728	30.7239357223855	29.2652306557243	33.3221863956769	32.5264019286624	37.450945954815	42.6812350817644	28.868421324436	28.7379804088723	32.8357128266524
CCDC24	0	1	2	5	1	0	0	1	2	1	0	0	1	2	1	1	0	0.7389724858369	1.42802024125122	4.06910165979217	0.971000186744069	0	0	0.749364285911842	1.67229889461282	0.528923593582172	0	0	0.677479921932768	1.80427633277725	0.870847891177948	0.864097705964536
CCDC25	113	81	99	116	92	131	40	83	81	162	74	97	148	82	93	95	77.1092045164009	59.8567713527889	70.6870019419355	94.4031585071784	89.3320171804544	93.9068847230874	62.7423380593509	62.1972357306829	67.728105231819	85.6856221603119	66.859826186695	90.8185439404263	100.26702844605	73.9753296438672	80.9888538795492	82.0892820666309
CCDC28A	25	18	29	27	21	25	6	23	19	37	21	9	35	17	18	23	17.0595585213276	13.3015047450642	20.7062934981427	21.9731489628777	20.3910039216255	17.9211612066961	9.41135070890263	17.2353785759724	15.8868394988217	19.5701729625404	18.9737344583864	8.42646283983337	23.7117972676469	15.3363488286066	15.6752620412031	19.8742472371843
CCDC28B	5	2	8	12	6	6	2	3	3	7	3	6	6	8	5	11	3.41191170426553	1.4779449716738	5.71208096500489	9.76584398350122	5.82600112046442	4.30107868960706	3.13711690296754	2.24809285773553	2.50844834191922	3.70246515507521	2.7105334940552	5.61764189322224	4.06487953159661	7.21710533110899	4.35423945588974	9.5050747656099
CCDC3	4	4	3	5	3	3	4	4	3	0	1	4	5	3	2	3	2.72952936341242	2.9558899433476	2.14203036187683	4.06910165979217	2.91300056023221	2.15053934480353	6.27423380593509	2.99745714364737	2.50844834191922	0	0.903511164685068	3.7450945954815	3.38739960966384	2.70641449916587	1.7416957823559	2.59229311789361
CCDC30	5	8	6	3	4	2	7	17	4	17	8	8	8	9	5	9	3.41191170426553	5.9117798866952	4.28406072375367	2.4414609958753	3.88400074697628	1.43369289653569	10.9799091603864	12.7391928605013	3.34459778922563	8.99170109089693	7.22808931748054	7.49018919096299	5.41983937546214	8.11924349749762	4.35423945588974	7.77687935368083
CCDC34	29	25	30	19	22	36	19	25	23	36	18	17	22	27	18	17	19.78908788474	18.4743121459225	21.4203036187683	15.4625863072103	21.3620041083695	25.8064721376424	29.8026105781917	18.734107147796	19.2314372880474	19.0412493689582	16.2632009643312	15.9166520307964	14.9045582825209	24.3577304924929	15.6752620412031	14.6896610013971
CCDC36	2	0	6	1	1	1	1	2	3	1	2	2	1	2	0	0	1.36476468170621	0	4.28406072375367	0.813820331958435	0.971000186744069	0.716846448267843	1.56855845148377	1.49872857182368	2.50844834191922	0.528923593582172	1.80702232937014	1.87254729774075	0.677479921932768	1.80427633277725	0	0
CCDC39	0	0	2	0	1	0	2	2	1	1	0	1	2	0	0	1	0	0	1.42802024125122	0	0.971000186744069	0	3.13711690296754	1.49872857182368	0.836149447306408	0.528923593582172	0	0.936273648870374	1.35495984386554	0	0	0.864097705964536
CCDC41	10	13	17	8	9	12	3	10	8	14	5	4	8	12	2	7	6.82382340853105	9.60664231587969	12.1381720506354	6.51056265566748	8.73900168069662	8.60215737921412	4.70567535445131	7.49364285911842	6.68919557845126	7.40493031015041	4.51755582342534	3.7450945954815	5.41983937546214	10.8256579966635	1.7416957823559	6.04868394175175
CCDC42	0	0	2	2	0	0	3	0	0	0	0	0	1	1	1	0	0	0	1.42802024125122	1.62764066391687	0	0	4.70567535445131	0	0	0	0	0	0.677479921932768	0.902138166388624	0.870847891177948	0
CCDC43	33	34	18	20	14	18	6	16	16	36	17	22	24	20	20	20	22.5186172481525	25.1250645184546	12.852182171261	16.2764066391687	13.594002614417	12.9032360688212	9.41135070890263	11.9898285745895	13.3783911569025	19.0412493689582	15.3596897996462	20.5980202751482	16.2595181263864	18.0427633277725	17.416957823559	17.2819541192907
CCDC47	65	69	60	56	57	75	38	77	50	114	68	60	52	65	87	67	44.3548521554518	50.9891015227461	42.8406072375367	45.5739385896723	55.3470106444119	53.7634836200882	59.6052211563833	57.7010500152118	41.8074723653204	60.2972896683676	61.4387591985846	56.1764189322224	35.2289559405039	58.6389808152606	75.7637665324815	57.8945462996239
CCDC50	100	69	45	53	34	53	24	63	60	77	52	49	62	57	55	58	68.2382340853105	50.9891015227461	32.1304554281525	43.132477593797	33.0140063492984	37.9928617581957	37.6454028356105	47.209950012446	50.1689668383845	40.7271167058273	46.9825805636235	45.8774087946483	42.0037551598316	51.4218754841516	47.8966340147872	50.1176669459431
CCDC51	13	8	9	12	5	6	3	9	8	14	13	8	7	12	10	8	8.87097043109037	5.9117798866952	6.4260910856305	9.76584398350122	4.85500093372035	4.30107868960706	4.70567535445131	6.74427857320658	6.68919557845126	7.40493031015041	11.7456451409059	7.49018919096299	4.74235945352937	10.8256579966635	8.70847891177948	6.91278164771629
CCDC53	263	236	300	281	254	334	119	289	256	456	220	209	371	247	233	273	179.466555644367	174.397506657508	214.203036187683	228.68351328032	246.634047432994	239.42671372146	186.658455726569	216.566278628522	214.05425851044	241.189158673471	198.772456230715	195.681192613908	251.345051037057	222.82812709799	202.907558644462	235.898673728318
CCDC57	2	0	2	0	2	1	0	3	3	1	0	0	0	1	0	0	1.36476468170621	0	1.42802024125122	0	1.94200037348814	0.716846448267843	0	2.24809285773553	2.50844834191922	0.528923593582172	0	0	0	0.902138166388624	0	0
CCDC58	35	32	41	31	18	34	16	36	32	47	28	35	35	17	26	38	23.8833819298587	23.6471195467808	29.2744149456501	25.2284302907115	17.4780033613932	24.3727792411067	25.0969352237403	26.9771142928263	26.756782313805	24.8594088983621	25.2983126111819	32.7695777104631	23.7117972676469	15.3363488286066	22.6420451706267	32.8357128266524
CCDC59	70	65	85	79	60	84	36	57	54	96	54	57	93	56	55	55	47.7667638597174	48.0332115793985	60.690860253177	64.2918062247163	58.2600112046442	60.2151016544988	56.4681042534158	42.713764296975	45.152070154546	50.7766649838885	48.7896028929937	53.3675979856113	63.0056327397474	50.519737317763	47.8966340147872	47.5253738280495
CCDC6	40	31	29	29	27	27	8	39	21	45	31	17	32	39	22	24	27.2952936341242	22.9081470609439	20.7062934981427	23.6007896267946	26.2170050420899	19.3548541032318	12.5484676118702	29.2252071505618	17.5591383934346	23.8015617111978	28.0088461052371	15.9166520307964	21.6793575018486	35.1833884891563	19.1586536059149	20.7383449431489
CCDC66	40	30	24	23	22	20	10	24	25	53	19	19	27	23	20	28	27.2952936341242	22.169174575107	17.1362428950147	18.717867635044	21.3620041083695	14.3369289653569	15.6855845148377	17.9847428618842	20.9037361826602	28.0329504598551	17.1667121290163	17.7891993285371	18.2919578921847	20.7491778269384	17.416957823559	24.194735767007
CCDC68	1	0	3	3	2	5	0	0	2	1	0	1	3	1	1	2	0.682382340853105	0	2.14203036187683	2.4414609958753	1.94200037348814	3.58423224133922	0	0	1.67229889461282	0.528923593582172	0	0.936273648870374	2.0324397657983	0.902138166388624	0.870847891177948	1.72819541192907
CCDC69	6	3	5	5	0	6	5	6	3	6	4	5	5	4	0	4	4.09429404511863	2.2169174575107	3.57005060312806	4.06910165979217	0	4.30107868960706	7.84279225741886	4.49618571547105	2.50844834191922	3.17354156149303	3.61404465874027	4.68136824435187	3.38739960966384	3.6085526655545	0	3.45639082385815
CCDC7	3	10	1	3	1	4	3	7	3	7	2	5	2	3	2	6	2.04714702255932	7.389724858369	0.714010120625611	2.4414609958753	0.971000186744069	2.86738579307137	4.70567535445131	5.24555000138289	2.50844834191922	3.70246515507521	1.80702232937014	4.68136824435187	1.35495984386554	2.70641449916587	1.7416957823559	5.18458623578722
CCDC71L	19	17	6	17	16	13	9	20	20	22	12	11	12	12	12	14	12.965264476209	12.5625322592273	4.28406072375367	13.8349456432934	15.5360029879051	9.31900382748196	14.1170260633539	14.9872857182368	16.7229889461282	11.6363190588078	10.8421339762208	10.2990101375741	8.12975906319321	10.8256579966635	10.4501746941354	12.0973678835035
CCDC74A	1	0	2	0	0	0	0	1	2	1	1	1	1	1	3	1	0.682382340853105	0	1.42802024125122	0	0	0	0	0.749364285911842	1.67229889461282	0.528923593582172	0.903511164685068	0.936273648870374	0.677479921932768	0.902138166388624	2.61254367353384	0.864097705964536
CCDC74B-AS1	4	9	6	2	2	2	1	7	2	11	5	8	8	6	4	2	2.72952936341242	6.6507523725321	4.28406072375367	1.62764066391687	1.94200037348814	1.43369289653569	1.56855845148377	5.24555000138289	1.67229889461282	5.8181595294039	4.51755582342534	7.49018919096299	5.41983937546214	5.41282899833175	3.48339156471179	1.72819541192907
CCDC77	10	6	10	5	6	9	4	9	11	13	6	7	7	13	5	4	6.82382340853105	4.4338349150214	7.14010120625611	4.06910165979217	5.82600112046442	6.45161803441059	6.27423380593509	6.74427857320658	9.19764392037048	6.87600671656824	5.42106698811041	6.55391554209262	4.74235945352937	11.7277961630521	4.35423945588974	3.45639082385815
CCDC8	15	15	14	6	12	11	5	11	6	15	8	10	6	13	8	7	10.2357351127966	11.0845872875535	9.99614168875856	4.88292199175061	11.6520022409288	7.88531093094627	7.84279225741886	8.24300714503026	5.01689668383845	7.93385390373258	7.22808931748054	9.36273648870374	4.06487953159661	11.7277961630521	6.96678312942359	6.04868394175175
CCDC80	4327	3920	3870	3417	2623	3667	1919	3856	3342	5277	3011	3014	3917	3392	3483	3329	2952.66838887139	2896.77214448065	2763.21916682112	2780.82407430197	2546.93348982969	2628.67592579818	3010.06366839736	2889.54868647606	2794.41145289801	2791.12980333312	2720.47211686674	2821.92877769531	2653.68885421065	3060.05266039021	3033.16320497279	2876.58126315594
CCDC81	6	4	5	7	1	7	4	2	7	9	2	4	4	8	3	8	4.09429404511863	2.9558899433476	3.57005060312806	5.69674232370904	0.971000186744069	5.0179251378749	6.27423380593509	1.49872857182368	5.85304613114485	4.76031234223955	1.80702232937014	3.7450945954815	2.70991968773107	7.21710533110899	2.61254367353384	6.91278164771629
CCDC82	58	60	50	56	50	54	25	60	52	84	45	35	28	41	45	39	39.5781757694801	44.338349150214	35.7005060312806	45.5739385896723	48.5500093372035	38.7097082064635	39.2139612870943	44.9618571547105	43.4797712599332	44.4295818609025	40.6580024108281	32.7695777104631	18.9694378141175	36.9876648219336	39.1881551030077	33.6998105326169
CCDC84	6	8	5	6	3	12	5	4	7	11	9	1	8	5	3	4	4.09429404511863	5.9117798866952	3.57005060312806	4.88292199175061	2.91300056023221	8.60215737921412	7.84279225741886	2.99745714364737	5.85304613114485	5.8181595294039	8.13160048216561	0.936273648870374	5.41983937546214	4.51069083194312	2.61254367353384	3.45639082385815
CCDC85B	8	6	11	14	6	8	5	6	4	9	11	13	9	5	9	11	5.45905872682484	4.4338349150214	7.85411132688173	11.3934846474181	5.82600112046442	5.73477158614274	7.84279225741886	4.49618571547105	3.34459778922563	4.76031234223955	9.93862281153575	12.1715574353149	6.09731929739491	4.51069083194312	7.83763102060153	9.5050747656099
CCDC85C	0	2	3	1	0	5	2	2	3	5	2	1	5	2	0	0	0	1.4779449716738	2.14203036187683	0.813820331958435	0	3.58423224133922	3.13711690296754	1.49872857182368	2.50844834191922	2.64461796791086	1.80702232937014	0.936273648870374	3.38739960966384	1.80427633277725	0	0
CCDC86	1	6	4	1	1	0	4	1	0	5	3	7	8	2	5	4	0.682382340853105	4.4338349150214	2.85604048250245	0.813820331958435	0.971000186744069	0	6.27423380593509	0.749364285911842	0	2.64461796791086	2.7105334940552	6.55391554209262	5.41983937546214	1.80427633277725	4.35423945588974	3.45639082385815
CCDC88A	28	30	24	20	29	29	18	16	36	43	21	22	18	26	26	20	19.1067055438869	22.169174575107	17.1362428950147	16.2764066391687	28.159005415578	20.7885469997674	28.2340521267079	11.9898285745895	30.1013801030307	22.7437145240334	18.9737344583864	20.5980202751482	12.1946385947898	23.4555923261042	22.6420451706267	17.2819541192907
CCDC89	2	3	2	3	4	4	2	1	6	5	3	2	6	2	3	2	1.36476468170621	2.2169174575107	1.42802024125122	2.4414609958753	3.88400074697628	2.86738579307137	3.13711690296754	0.749364285911842	5.01689668383845	2.64461796791086	2.7105334940552	1.87254729774075	4.06487953159661	1.80427633277725	2.61254367353384	1.72819541192907
CCDC9	2	0	1	1	0	1	2	2	3	2	0	2	0	1	1	0	1.36476468170621	0	0.714010120625611	0.813820331958435	0	0.716846448267843	3.13711690296754	1.49872857182368	2.50844834191922	1.05784718716434	0	1.87254729774075	0	0.902138166388624	0.870847891177948	0
CCDC90B	195	190	252	245	197	274	92	170	184	271	185	198	292	187	176	205	133.064556466355	140.404772309011	179.930550397654	199.385981329817	191.287036788582	196.415926825389	144.307377536507	127.391928605013	153.851498304379	143.338293860769	167.149565466738	185.382182476334	197.824137204368	168.699837114673	153.269228847319	177.14002972273
CCDC91	50	31	36	40	20	27	8	25	37	37	19	32	47	30	17	39	34.1191170426553	22.9081470609439	25.704364342522	32.5528132783374	19.4200037348814	19.3548541032318	12.5484676118702	18.734107147796	30.9375295503371	19.5701729625404	17.1667121290163	29.960756763852	31.8415563308401	27.0641449916587	14.8044141500251	33.6998105326169
CCDC92	12	20	11	12	10	11	3	10	12	15	7	8	9	11	16	10	8.18858809023726	14.779449716738	7.85411132688173	9.76584398350122	9.71000186744069	7.88531093094627	4.70567535445131	7.49364285911842	10.0337933676769	7.93385390373258	6.32457815279547	7.49018919096299	6.09731929739491	9.92351983027487	13.9335662588472	8.64097705964536
CCDC93	27	36	28	25	15	26	10	31	31	36	21	25	40	24	31	24	18.4243232030338	26.6030094901284	19.9922833775171	20.3455082989609	14.565002801161	18.6380076549639	15.6855845148377	23.2302928632671	25.9206328664986	19.0412493689582	18.9737344583864	23.4068412217594	27.0991968773107	21.651315993327	26.9962846265164	20.7383449431489
CCDC94	2	4	5	3	2	8	0	1	1	3	3	3	3	6	2	2	1.36476468170621	2.9558899433476	3.57005060312806	2.4414609958753	1.94200037348814	5.73477158614274	0	0.749364285911842	0.836149447306408	1.58677078074652	2.7105334940552	2.80882094661112	2.0324397657983	5.41282899833175	1.7416957823559	1.72819541192907
CCDC96	1	2	1	0	0	0	0	2	1	2	0	0	2	0	2	0	0.682382340853105	1.4779449716738	0.714010120625611	0	0	0	0	1.49872857182368	0.836149447306408	1.05784718716434	0	0	1.35495984386554	0	1.7416957823559	0
CCDC97	3	3	0	1	0	5	4	3	3	5	1	2	2	2	3	1	2.04714702255932	2.2169174575107	0	0.813820331958435	0	3.58423224133922	6.27423380593509	2.24809285773553	2.50844834191922	2.64461796791086	0.903511164685068	1.87254729774075	1.35495984386554	1.80427633277725	2.61254367353384	0.864097705964536
CCIN	0	1	3	0	0	2	0	0	0	3	2	1	1	2	2	0	0	0.7389724858369	2.14203036187683	0	0	1.43369289653569	0	0	0	1.58677078074652	1.80702232937014	0.936273648870374	0.677479921932768	1.80427633277725	1.7416957823559	0
CCL11	138	119	136	104	93	129	58	118	109	161	84	88	123	82	137	154	94.1687630377285	87.9377258145911	97.1053764050831	84.6373145236772	90.3030173671984	92.4731918265518	90.9763901860588	88.4249857375973	91.1402897563984	85.1566985667297	75.8949378335457	82.3920811005929	83.3300303977304	73.9753296438672	119.306161091379	133.071046718539
CCL2	202	189	264	312	300	388	117	158	206	292	241	272	395	125	144	262	137.841232852327	139.665799823174	188.498671845161	253.911943571032	291.300056023221	278.136421927923	183.521338823601	118.399557174071	172.24678614512	154.445689325994	217.746190689101	254.666432492742	267.604569163443	112.767270798578	125.402096329625	226.393598962708
CCL20	1	1	1	1	1	3	1	2	1	0	0	1	2	1	0	1	0.682382340853105	0.7389724858369	0.714010120625611	0.813820331958435	0.971000186744069	2.15053934480353	1.56855845148377	1.49872857182368	0.836149447306408	0	0	0.936273648870374	1.35495984386554	0.902138166388624	0	0.864097705964536
CCL22	6	2	5	2	4	2	2	2	4	12	4	3	5	2	3	1	4.09429404511863	1.4779449716738	3.57005060312806	1.62764066391687	3.88400074697628	1.43369289653569	3.13711690296754	1.49872857182368	3.34459778922563	6.34708312298607	3.61404465874027	2.80882094661112	3.38739960966384	1.80427633277725	2.61254367353384	0.864097705964536
CCL26	1	4	3	4	3	1	4	1	2	8	2	3	5	1	1	2	0.682382340853105	2.9558899433476	2.14203036187683	3.25528132783374	2.91300056023221	0.716846448267843	6.27423380593509	0.749364285911842	1.67229889461282	4.23138874865738	1.80702232937014	2.80882094661112	3.38739960966384	0.902138166388624	0.870847891177948	1.72819541192907
CCL28	11	7	16	9	7	4	1	18	11	12	12	6	11	5	4	11	7.50620574938416	5.1728074008583	11.4241619300098	7.32438298762591	6.79700130720848	2.86738579307137	1.56855845148377	13.4885571464132	9.19764392037048	6.34708312298607	10.8421339762208	5.61764189322224	7.45227914126044	4.51069083194312	3.48339156471179	9.5050747656099
CCL5	12	18	12	4	6	4	10	15	15	23	15	11	8	14	7	9	8.18858809023726	13.3015047450642	8.56812144750734	3.25528132783374	5.82600112046442	2.86738579307137	15.6855845148377	11.2404642886776	12.5422417095961	12.16524265239	13.552667470276	10.2990101375741	5.41983937546214	12.6299343294407	6.09593523824564	7.77687935368083
CCM2	5	4	6	5	8	7	4	6	4	6	5	4	7	6	1	5	3.41191170426553	2.9558899433476	4.28406072375367	4.06910165979217	7.76800149395255	5.0179251378749	6.27423380593509	4.49618571547105	3.34459778922563	3.17354156149303	4.51755582342534	3.7450945954815	4.74235945352937	5.41282899833175	0.870847891177948	4.32048852982268
CCNA2	4	4	4	0	2	2	0	2	1	2	4	1	1	1	0	0	2.72952936341242	2.9558899433476	2.85604048250245	0	1.94200037348814	1.43369289653569	0	1.49872857182368	0.836149447306408	1.05784718716434	3.61404465874027	0.936273648870374	0.677479921932768	0.902138166388624	0	0
CCNB1	8	6	7	9	6	8	2	16	6	11	1	2	10	4	6	5	5.45905872682484	4.4338349150214	4.99807084437928	7.32438298762591	5.82600112046442	5.73477158614274	3.13711690296754	11.9898285745895	5.01689668383845	5.8181595294039	0.903511164685068	1.87254729774075	6.77479921932768	3.6085526655545	5.22508734706769	4.32048852982268
