Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	SOR+URS.A.5.7.1.C3	SOR+URS.A.5.8.1.C4	SOR+URS.A.5.9.1.C5	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	SOR+URS.A.5.7.1.C3.Norm	SOR+URS.A.5.8.1.C4.Norm	SOR+URS.A.5.9.1.C5.Norm
AAR2	36	30	49	28	43	57	28	37	27	43	43	41	70	3	4	10	26.0246595860914	24.0203308041619	37.8711076759736	24.5692030926006	44.8269460668183	44.363736940164	47.1310998056265	30.1096897776016	24.2532956741767	24.4380567749012	42.0027259124573	41.2962647166156	52.110216553403	15.6890799544265	16.648549097136	23.6300881853367
AARD	1	1	5	4	2	3	0	1	3	8	1	1	2	0	1	1	0.72290721072476	0.800677693472063	3.86439874244629	3.5098861560858	2.08497423566597	2.33493352316653	0	0.813775399394637	2.69481063046408	4.5466152139351	0.976807579359473	1.00722596869794	1.48886333009723	0	4.16213727428399	2.36300881853367
AARS	34	29	31	34	27	39	18	26	26	24	30	24	28	1	8	9	24.5788451646418	23.2196531106898	23.959272203167	29.8340323267293	28.1471521814905	30.3541358011649	30.2985641607599	21.1581603842606	23.355025464022	13.6398456418053	29.3042273807842	24.1734232487506	20.8440866213612	5.22969331814218	33.297098194272	21.2670793668031
AARS2	5	18	8	6	4	8	4	3	6	9	5	6	7	1	1	2	3.6145360536238	14.4121984824971	6.18303798791406	5.26482923412871	4.16994847133193	6.22648939511074	6.73301425794665	2.44132619818391	5.38962126092816	5.11494211567699	4.88403789679737	6.04335581218765	5.2110216553403	5.22969331814218	4.16213727428399	4.72601763706735
AASDH	19	10	11	13	9	11	9	6	16	23	18	8	16	0	5	2	13.7352370037704	8.00677693472063	8.50167723338184	11.4071300072789	9.38238406049685	8.56142291827727	15.14928208038	4.88265239636782	14.3723233624751	13.0715187400634	17.5825364284705	8.05780774958354	11.9109066407778	0	20.81068637142	4.72601763706735
AASDHPPT	82	75	81	68	74	98	29	72	73	116	69	68	79	7	8	22	59.2783912794303	60.0508270104047	62.6032596276299	59.6680646534587	77.1440467196408	76.2744950901066	48.8143533701132	58.5918287564139	65.5737253412926	65.925920602059	67.3997229758036	68.4913658714601	58.8101015388406	36.6078532269952	33.297098194272	51.9861940077408
AASS	20	19	13	9	9	8	7	9	20	23	6	10	10	1	1	3	14.4581442144952	15.2128761759692	10.0474367303604	7.89724385119306	9.38238406049685	6.22648939511074	11.7827749514066	7.32397859455173	17.9654042030939	13.0715187400634	5.86084547615684	10.0722596869794	7.44431665048615	5.22969331814218	4.16213727428399	7.08902645560102
AATF	15	7	14	15	14	22	11	13	11	19	8	15	6	4	7	4	10.8436081608714	5.60474385430444	10.8203164788496	13.1620730853218	14.5948196496618	17.1228458365545	18.5157892093533	10.5790801921303	9.88097231170163	10.7982111330959	7.81446063487578	15.1083895304691	4.46658999029169	20.9187732725687	29.134960919988	9.4520352741347
ABAT	4	0	0	1	0	0	0	0	1	3	3	1	0	0	0	0	2.89162884289904	0	0	0.877471539021451	0	0	0	0	0.898270210154694	1.70498070522566	2.93042273807842	1.00722596869794	0	0	0	0
ABCA1	215	223	329	291	141	208	137	332	276	546	178	170	280	21	23	39	155.425050305823	178.55112564427	254.277437252966	255.344217855242	146.990683614451	161.888724272879	230.605738334673	270.17343259902	247.922578002695	310.306488351071	173.871749125986	171.22841467865	208.440866213612	109.823559680986	95.7291573085319	92.1573439228133
