Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	TRS+DOM.A.4.15.1.B9	TRS+DOM.A.4.16.1.B10	TRS+DOM.A.5.12.1.C8	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	TRS+DOM.A.4.15.1.B9.Norm	TRS+DOM.A.4.16.1.B10.Norm	TRS+DOM.A.5.12.1.C8.Norm
AAMP	31	20	32	21	26	19	11	28	26	36	18	27	38	157	32	7	21.1132260291145	15.0863787000343	23.1346262727115	16.7340789998994	24.675534605466	13.7406258818778	16.9794611007954	21.1720024260859	21.4329139417431	19.0062714102748	16.102698825189	24.9256631570886	26.366994690309	22.252624424027	22.6985205905348	12.1965723574452
AAR2	36	30	49	28	43	57	28	37	27	43	43	41	70	280	54	10	24.5185850660685	22.6295680500515	35.4248964800895	22.3121053331992	40.8095380013477	41.2218776456334	43.2204464383882	27.977288920185	22.2572567856562	22.701935295606	38.4675583046182	37.8500810903937	48.5707796926745	39.6862091638697	38.3037534965275	17.4236747963503
AARD	1	1	5	4	2	3	0	1	3	8	1	1	2	17	2	3	0.681071807390791	0.754318935001715	3.61478535511118	3.18744361902846	1.89811804657431	2.16957250766492	0	0.756142943788783	2.47302853173958	4.22361586894995	0.894594379177167	0.923172709521798	1.38773656264784	2.40951984209209	1.41865753690843	5.22710243890508
AARS	34	29	31	34	27	39	18	26	26	24	30	24	28	127	28	13	23.1564414512869	21.8752491150497	22.4116692016893	27.0932707617419	25.6245936287532	28.2044425996439	27.7845727103924	19.6597165385084	21.4329139417431	12.6708476068499	26.837831375315	22.1561450285232	19.4283118770698	18.0005305850409	19.861205516718	22.6507772352554
AARS2	5	18	8	6	4	8	4	3	6	9	5	6	7	21	9	2	3.40535903695396	13.5777408300309	5.78365656817788	4.78116542854269	3.79623609314862	5.78552668710645	6.17434949119832	2.26842883136635	4.94605706347917	4.7515678525687	4.47297189588584	5.53903625713079	4.85707796926745	2.97646568729023	6.38395891608792	3.48473495927006
AASDH	19	10	11	13	9	11	9	6	16	23	18	8	16	67	23	5	12.940364340425	7.54318935001715	7.95252778124459	10.3591917618425	8.54153120958439	7.95509919477136	13.8922863551962	4.5368576627327	13.1894855026111	12.1428956232311	16.102698825189	7.38538167617439	11.1018925011827	9.49634290706883	16.3145616744469	8.71183739817514
AASDHPPT	82	75	81	68	74	98	29	72	73	116	69	68	79	465	74	39	55.8478882060449	56.5739201251287	58.5595227528011	54.1865415234838	70.2303677232495	70.872701917054	44.7640338111878	54.4422919527924	60.1770276056632	61.2424300997743	61.7270121632246	62.7757442474823	54.8155942245898	65.9074545042837	52.4903288656118	67.9523317057661
AASS	20	19	13	9	9	8	7	9	20	23	6	10	10	56	11	5	13.6214361478158	14.3320597650326	9.39844192328906	7.17174814281403	8.54153120958439	5.78552668710645	10.8051116095971	6.80528649409905	16.4868568782639	12.1428956232311	5.367566275063	9.23172709521798	6.93868281323921	7.93724183277395	7.80261645299635	8.71183739817514
AATF	15	7	14	15	14	22	11	13	11	19	8	15	6	59	13	1	10.2160771108619	5.28023254501201	10.1213989943113	11.9529135713567	13.2868263260202	15.9101983895427	16.9794611007954	9.82985826925418	9.06777128304514	10.0310876887561	7.15675503341734	13.847590642827	4.16320968794353	8.36245121667255	9.22127398990478	1.74236747963503
ABAT	4	0	0	1	0	0	0	0	1	3	3	1	0	6	1	2	2.72428722956316	0	0	0.796860904757115	0	0	0	0	0.824342843913194	1.58385595085623	2.6837831375315	0.923172709521798	0	0.850418767797209	0.709328768454214	3.48473495927006
