Gene	CTRL.A.4.1.1.A8	CTRL.A.4.3.1.A10	CTRL.A.5.1.1.B11	CTRL.A.5.2.1.B12	CTRL.A.5.2.1.H10	CTRL.A.5.2.1.H9	CTRL.A.5.3.1.C1	CTRL.A.6.1.1.C9	CTRL.A.6.2.1.C10	CTRL.A.6.3.1.C11	CTRL.A.7.1.1.E3	CTRL.A.7.2.1.E4	CTRL.A.8.1.1.F11	SUN+DOM.A.6.22.1.D12	SUN+DOM.A.6.23.1.E1	SUN+DOM.A.6.24.1.E2	CTRL.A.4.1.1.A8.Norm	CTRL.A.4.3.1.A10.Norm	CTRL.A.5.1.1.B11.Norm	CTRL.A.5.2.1.B12.Norm	CTRL.A.5.2.1.H10.Norm	CTRL.A.5.2.1.H9.Norm	CTRL.A.5.3.1.C1.Norm	CTRL.A.6.1.1.C9.Norm	CTRL.A.6.2.1.C10.Norm	CTRL.A.6.3.1.C11.Norm	CTRL.A.7.1.1.E3.Norm	CTRL.A.7.2.1.E4.Norm	CTRL.A.8.1.1.F11.Norm	SUN+DOM.A.6.22.1.D12.Norm	SUN+DOM.A.6.23.1.E1.Norm	SUN+DOM.A.6.24.1.E2.Norm
ABCB6	15	13	18	19	8	16	6	13	13	17	18	13	18	17	13	10	10.1907551315992	9.78697941145873	12.9785991770911	15.0936511431076	7.56972777300558	11.5464041708647	9.2145570519349	9.80369848583908	10.6837864521576	8.95084154431239	16.0611278447414	11.9650536237464	12.4698379890138	11.9256434179428	14.026351696353	9.28530783836294
ABCB7	16	21	21	14	21	22	9	19	13	22	14	16	19	16	10	18	10.8701388070391	15.8097359723564	15.1416990399397	11.121637684395	19.8705354041396	15.876305734939	13.8218355779024	14.3284824023802	10.6837864521576	11.5834419985219	12.4919883236877	14.726219844611	13.1626067661813	11.2241349815932	10.7895013048869	16.7135541090533
ABCB8	6	5	3	2	1	1	0	3	5	4	1	3	3	3	5	4	4.07630205263967	3.76422285056105	2.16309986284852	1.58880538348501	0.946215971625697	0.721650260679043	0	2.26239195827056	4.10914863544521	2.10608036336762	0.892284880263409	2.76116622086456	2.07830633150231	2.10452530904873	5.39475065244344	3.71412313534517
ABCC1	21	21	19	29	12	18	14	18	28	30	27	13	19	31	12	17	14.2670571842388	15.8097359723564	13.6996324647073	23.0376780605326	11.3545916595084	12.9897046922228	21.5006331211814	13.5743517496233	23.0112323584932	15.7956027252572	24.091691767112	11.9650536237464	13.1626067661813	21.7467615268369	12.9474015658643	15.785023325217
ABCC10	4	4	2	8	4	6	5	5	7	7	3	3	3	3	6	5	2.71753470175978	3.01137828044884	1.44206657523235	6.35522153394003	3.78486388650279	4.32990156407426	7.67879754327909	3.77065326378426	5.7528080896233	3.68564063589334	2.67685464079023	2.76116622086456	2.07830633150231	2.10452530904873	6.47370078293213	4.64265391918147
ABCC13	0	3	0	2	1	1	0	1	0	2	1	1	0	1	0	1	0	2.25853371033663	0	1.58880538348501	0.946215971625697	0.721650260679043	0	0.754130652756852	0	1.05304018168381	0.892284880263409	0.920388740288185	0	0.701508436349577	0	0.928530783836294
ABCC3	3	3	4	5	2	1	0	4	1	4	3	4	4	1	3	7	2.03815102631983	2.25853371033663	2.8841331504647	3.97201345871252	1.89243194325139	0.721650260679043	0	3.01652261102741	0.821829727089043	2.10608036336762	2.67685464079023	3.68155496115274	2.77107510866974	0.701508436349577	3.23685039146607	6.49971548685406
ABCC4	12	6	9	7	4	8	2	16	10	12	5	7	9	10	6	9	8.15260410527933	4.51706742067326	6.48929958854557	5.56081884219752	3.78486388650279	5.77320208543235	3.07151901731163	12.0660904441096	8.21829727089043	6.31824109010286	4.46142440131704	6.4427211820173	6.23491899450692	7.01508436349577	6.47370078293213	8.35677705452664
ABCC5	7	8	11	8	11	12	5	13	11	19	8	12	24	24	14	11	4.75568572807961	6.02275656089768	7.93136616377792	6.35522153394003	10.4083756878827	8.65980312814852	7.67879754327909	9.80369848583908	9.04012699797947	10.0038817259962	7.13827904210727	11.0446648834582	16.6264506520184	16.8362024723899	15.1053018268416	10.2138386221992
ABCC9	2	3	1	2	1	1	0	3	1	1	1	0	2	1	2	0	1.35876735087989	2.25853371033663	0.721033287616174	1.58880538348501	0.946215971625697	0.721650260679043	0	2.26239195827056	0.821829727089043	0.526520090841905	0.892284880263409	0	1.38553755433487	0.701508436349577	2.15790026097738	0
ABCD1	3	0	0	2	0	1	0	1	1	1	0	0	0	0	0	2	2.03815102631983	0	0	1.58880538348501	0	0.721650260679043	0	0.754130652756852	0.821829727089043	0.526520090841905	0	0	0	0	0	1.85706156767259
ABCD3	37	35	40	29	27	25	16	33	28	57	26	32	25	33	25	30	25.1371959912779	26.3495599539273	28.841331504647	23.0376780605326	25.5478312338938	18.0412565169761	24.5721521384931	24.8863115409761	23.0112323584932	30.0116451779886	23.1994068868486	29.4524396892219	17.3192194291859	23.149778399536	26.9737532622172	27.8559235150888
ABCD4	11	16	11	19	9	16	3	13	15	26	6	12	15	13	9	20	7.47322042983939	12.0455131217954	7.93136616377792	15.0936511431076	8.51594374463128	11.5464041708647	4.60727852596745	9.80369848583908	12.3274459063356	13.6895223618895	5.35370928158045	11.0446648834582	10.3915316575115	9.1196096725445	9.7105511743982	18.5706156767259
